31,0.003,0.0047421
32,0.0035,0.0052562
33,0.00525,0.0055882
34,0.0065,0.006065
35,0.0075,0.0064776
36,0.0065,0.0071375
37,0.0085,0.0076888
38,0.007,0.0083362
39,0.0105,0.0091274
40,0.00775,0.0095422
41,0.0115,0.010353
42,0.01075,0.010795
43,0.01025,0.011629
44,0.013,0.012156
45,0.0125,0.012846
46,0.01425,0.013787
47,0.015,0.014052
48,0.015,0.015168
49,0.0135,0.015487
50,0.01425,0.016343
51,0.01675,0.016837
52,0.01625,0.017445
53,0.01975,0.018004
54,0.02,0.018684
55,0.021,0.019212
56,0.02375,0.019942
57,0.02,0.020494
58,0.018,0.020697
59,0.02125,0.021199
60,0.02275,0.021581
61,0.022,0.021771
62,0.01975,0.021864
63,0.02375,0.02225
64,0.01975,0.0226
65,0.0225,0.022712
66,0.02375,0.022741
67,0.02425,0.022467
68,0.02425,0.022249
69,0.01425,0.022203
70,0.0215,0.021886
71,0.021,0.021631
72,0.0185,0.021215
73,0.02075,0.020897
74,0.02,0.020286
75,0.01775,0.019701
76,0.02,0.01909
77,0.02225,0.018478
78,0.0165,0.017722
79,0.01375,0.017269
80,0.0175,0.016377
81,0.02125,0.015553
82,0.01825,0.014991
83,0.01475,0.014149
84,0.011,0.013336
85,0.01125,0.012506
86,0.015,0.011538
87,0.00925,0.01071
88,0.011,0.0099404
89,0.0095,0.0093736
90,0.00675,0.0085762
91,0.00825,0.007936
92,0.00925,0.0070289
93,0.0075,0.0064725
94,0.006,0.005826
95,0.00475,0.0052148
96,0.00575,0.0047039
97,0.00325,0.0040978
98,0.00375,0.0037782
99,0.00375,0.003258
100,0.00325,0.0027801
101,0.00225,0.0024688
102,0.0025,0.0022247
103,0.0015,0.0019103
104,0.00175,0.0016693
105,0.00125,0.0013725
106,0.00075,0.0011491
107,0.002,0.00097118
108,0.00125,0.00081604
109,0.00075,0.00067538
110,0.0015,0.00055851
111,0.00025,0.00047059
112,0.00025,0.0004013
113,0,0.0003289
114,0,0.00024822
115,0,0.00020685
116,0.00025,0.00015928
117,0.00025,0.00011584
118,0,8.7913e-05
119,0,6.9296e-05
120,0.00025,7.3433e-05
121,0.00025,5.0679e-05
122,0,3.4131e-05
123,0,1.8617e-05
124,0,2.0685e-05
125,0,1.5514e-05
126,0,1.0343e-05
127,0.00025,7.2399e-06
128,0,4.1371e-06
129,0,1.0343e-06
130,0,2.0685e-06
131,0,4.1371e-06
132,0,2.0685e-06
133,0,2.0685e-06
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,1.0343e-06
