age, man, woman
1, 0, 0
2, 0.01, 0.01
3, 0, 0
4, 0, 0
5, 0, 0
6, 0.05, 0.05
7, 0.06, 0.06
8, 0.1, 0.1
9, 0.1, 0.1
10, 0.15, 0.15
11, 0.1, 0.1
12, 0.16, 0.16
13, 0.18, 0.18
14, 0.26, 0.26
15, 0.23, 0.23
16, 0.34, 0.34
17, 0.45, 0.45
18, 0.28, 0.28
19, 0.34, 0.34
20, 0.38, 0.38
21, 0.5, 0.5
22, 0.52, 0.52
23, 0.54, 0.54
24, 0.66, 0.66
25, 0.67, 0.67
26, 0.64, 0.64
27, 0.82, 0.82
28, 0.88, 0.88
29, 0.81, 0.81
30, 1.01, 1.01
31, 0.75, 0.75
32, 0.96, 0.96
33, 1.02, 1.02
34, 1.06, 1.06
35, 1.23, 1.23
36, 1.08, 1.08
37, 1.17, 1.17
38, 1.3, 1.3
39, 1.36, 1.36
40, 1.09, 1.09
41, 1.28, 1.28
42, 1.41, 1.41
43, 1.56, 1.56
44, 1.53, 1.53
45, 1.63, 1.63
46, 1.73, 1.73
47, 1.63, 1.63
48, 1.63, 1.63
49, 1.64, 1.64
50, 1.7, 1.7
51, 1.73, 1.73
52, 1.88, 1.88
53, 1.71, 1.71
54, 1.73, 1.73
55, 1.56, 1.56
56, 1.54, 1.54
57, 1.76, 1.76
58, 1.53, 1.53
59, 1.83, 1.83
60, 1.75, 1.75
61, 1.71, 1.71
62, 1.93, 1.93
63, 1.81, 1.81
64, 1.75, 1.75
65, 1.6, 1.6
66, 1.41, 1.41
67, 1.62, 1.62
68, 1.61, 1.61
69, 1.82, 1.82
70, 1.4, 1.4
71, 1.6, 1.6
72, 1.61, 1.61
73, 1.19, 1.19
74, 1.33, 1.33
75, 1.49, 1.49
76, 1.27, 1.27
77, 1.01, 1.01
78, 1.39, 1.39
79, 1.24, 1.24
80, 1.03, 1.03
81, 0.87, 0.87
82, 0.93, 0.93
83, 1.15, 1.15
84, 0.98, 0.98
85, 0.82, 0.82
86, 0.77, 0.77
87, 0.72, 0.72
88, 0.7, 0.7
89, 0.7, 0.7
90, 0.68, 0.68
91, 0.73, 0.73
92, 0.51, 0.51
93, 0.58, 0.58
94, 0.53, 0.53
95, 0.43, 0.43
96, 0.4, 0.4
97, 0.42, 0.42
98, 0.4, 0.4
99, 0.44, 0.44
100, 0.3, 0.3
