age, man, woman
1, 0, 0
2, 0, 0
3, 0, 0
4, 0, 0
5, 0, 0
6, 0, 0
7, 0.01, 0.01
8, 0, 0
9, 0.01, 0.01
10, 0.02, 0.02
11, 0.03, 0.03
12, 0.04, 0.04
13, 0.04, 0.04
14, 0.07, 0.07
15, 0.09, 0.09
16, 0.04, 0.04
17, 0.11, 0.11
18, 0.1, 0.1
19, 0.19, 0.19
20, 0.26, 0.26
21, 0.17, 0.17
22, 0.23, 0.23
23, 0.26, 0.26
24, 0.23, 0.23
25, 0.22, 0.22
26, 0.41, 0.41
27, 0.27, 0.27
28, 0.48, 0.48
29, 0.59, 0.59
30, 0.56, 0.56
31, 0.54, 0.54
32, 0.61, 0.61
33, 0.7, 0.7
34, 0.68, 0.68
35, 0.92, 0.92
36, 1.05, 1.05
37, 0.98, 0.98
38, 1.11, 1.11
39, 1.05, 1.05
40, 1.08, 1.08
41, 1.44, 1.44
42, 1.24, 1.24
43, 1.36, 1.36
44, 1.56, 1.56
45, 1.59, 1.59
46, 1.79, 1.79
47, 1.71, 1.71
48, 1.59, 1.59
49, 2, 2
50, 2.08, 2.08
51, 1.84, 1.84
52, 2.14, 2.14
53, 1.96, 1.96
54, 2.38, 2.38
55, 2.13, 2.13
56, 2.16, 2.16
57, 2.17, 2.17
58, 2.41, 2.41
59, 2.24, 2.24
60, 2.52, 2.52
61, 2.4, 2.4
62, 2.12, 2.12
63, 2.58, 2.58
64, 2.29, 2.29
65, 2.42, 2.42
66, 2.32, 2.32
67, 2.41, 2.41
68, 2.2, 2.2
69, 2.09, 2.09
70, 2, 2
71, 2.02, 2.02
72, 2.05, 2.05
73, 1.82, 1.82
74, 1.66, 1.66
75, 1.53, 1.53
76, 1.84, 1.84
77, 1.32, 1.32
78, 1.47, 1.47
79, 1.35, 1.35
80, 1.18, 1.18
81, 1.1, 1.1
82, 0.99, 0.99
83, 1.03, 1.03
84, 0.71, 0.71
85, 0.67, 0.67
86, 0.69, 0.69
87, 0.61, 0.61
88, 0.48, 0.48
89, 0.48, 0.48
90, 0.39, 0.39
91, 0.49, 0.49
92, 0.36, 0.36
93, 0.24, 0.24
94, 0.3, 0.3
95, 0.18, 0.18
96, 0.16, 0.16
97, 0.12, 0.12
98, 0.08, 0.08
99, 0.09, 0.09
100, 0.04, 0.04
