age, man, woman
8, 0, 0
9, 0, 0
10, 0.01, 0.01
11, 0.02, 0.02
12, 0.01, 0.01
13, 0.01, 0.01
14, 0.05, 0.05
15, 0.05, 0.05
16, 0.05, 0.05
17, 0.09, 0.09
18, 0.02, 0.02
19, 0.04, 0.04
20, 0.14, 0.14
21, 0.14, 0.14
22, 0.14, 0.14
23, 0.14, 0.14
24, 0.31, 0.31
25, 0.27, 0.27
26, 0.33, 0.33
27, 0.44, 0.44
28, 0.48, 0.48
29, 0.53, 0.53
30, 0.6, 0.6
31, 0.49, 0.49
32, 0.62, 0.62
33, 0.65, 0.65
34, 0.7, 0.7
35, 0.89, 0.89
36, 0.89, 0.89
37, 1.07, 1.07
38, 1.05, 1.05
39, 1.45, 1.45
40, 1.37, 1.37
41, 1.47, 1.47
42, 1.66, 1.66
43, 1.77, 1.77
44, 1.67, 1.67
45, 2.03, 2.03
46, 2.21, 2.21
47, 2.18, 2.18
48, 2.55, 2.55
49, 2.36, 2.36
50, 2.39, 2.39
51, 2.73, 2.73
52, 2.52, 2.52
53, 2.94, 2.94
54, 2.92, 2.92
55, 2.86, 2.86
56, 3.25, 3.25
57, 3.03, 3.03
58, 2.96, 2.96
59, 3.05, 3.05
60, 3.16, 3.16
61, 2.65, 2.65
62, 2.94, 2.94
63, 2.59, 2.59
64, 2.56, 2.56
65, 2.6, 2.6
66, 2.51, 2.51
67, 2.45, 2.45
68, 2.64, 2.64
69, 1.85, 1.85
70, 1.91, 1.91
71, 1.86, 1.86
72, 1.83, 1.83
73, 1.16, 1.16
74, 1.28, 1.28
75, 1.17, 1.17
76, 0.77, 0.77
77, 0.83, 0.83
78, 0.61, 0.61
79, 0.69, 0.69
80, 0.46, 0.46
81, 0.45, 0.45
82, 0.31, 0.31
83, 0.25, 0.25
84, 0.24, 0.24
85, 0.17, 0.17
86, 0.08, 0.08
87, 0.13, 0.13
88, 0.08, 0.08
89, 0.01, 0.01
90, 0.07, 0.07
91, 0.03, 0.03
92, 0.04, 0.04
93, 0, 0
94, 0.01, 0.01
95, 0, 0
96, 0, 0
97, 0, 0
98, 0, 0
99, 0, 0
100, 0, 0
