age, man, woman
1, 0, 0
2, 0.02, 0.02
3, 0.04, 0.04
4, 0.04, 0.04
5, 0.06, 0.06
6, 0.04, 0.04
7, 0.12, 0.12
8, 0.08, 0.08
9, 0.13, 0.13
10, 0.15, 0.15
11, 0.16, 0.16
12, 0.23, 0.23
13, 0.2, 0.2
14, 0.28, 0.28
15, 0.28, 0.28
16, 0.48, 0.48
17, 0.44, 0.44
18, 0.44, 0.44
19, 0.48, 0.48
20, 0.46, 0.46
21, 0.49, 0.49
22, 0.54, 0.54
23, 0.63, 0.63
24, 0.63, 0.63
25, 0.78, 0.78
26, 0.84, 0.84
27, 0.83, 0.83
28, 1.01, 1.01
29, 0.92, 0.92
30, 0.99, 0.99
31, 1.13, 1.13
32, 1.14, 1.14
33, 1.23, 1.23
34, 1.16, 1.16
35, 1.08, 1.08
36, 1.02, 1.02
37, 1.33, 1.33
38, 1.41, 1.41
39, 1.49, 1.49
40, 1.41, 1.41
41, 1.38, 1.38
42, 1.44, 1.44
43, 1.4, 1.4
44, 1.51, 1.51
45, 1.76, 1.76
46, 1.52, 1.52
47, 1.51, 1.51
48, 1.63, 1.63
49, 1.47, 1.47
50, 1.54, 1.54
51, 1.6, 1.6
52, 1.62, 1.62
53, 1.5, 1.5
54, 1.73, 1.73
55, 1.65, 1.65
56, 1.28, 1.28
57, 1.56, 1.56
58, 1.52, 1.52
59, 1.58, 1.58
60, 1.88, 1.88
61, 1.47, 1.47
62, 1.71, 1.71
63, 1.91, 1.91
64, 1.48, 1.48
65, 1.72, 1.72
66, 1.58, 1.58
67, 1.37, 1.37
68, 1.37, 1.37
69, 1.45, 1.45
70, 1.38, 1.38
71, 1.43, 1.43
72, 1.44, 1.44
73, 1.31, 1.31
74, 1.32, 1.32
75, 1.34, 1.34
76, 1.42, 1.42
77, 1.33, 1.33
78, 1.31, 1.31
79, 1.05, 1.05
80, 0.96, 0.96
81, 0.86, 0.86
82, 0.93, 0.93
83, 0.78, 0.78
84, 0.61, 0.61
85, 0.79, 0.79
86, 0.73, 0.73
87, 0.64, 0.64
88, 0.79, 0.79
89, 0.81, 0.81
90, 0.63, 0.63
91, 0.65, 0.65
92, 0.59, 0.59
93, 0.74, 0.74
94, 0.5, 0.5
95, 0.38, 0.38
96, 0.43, 0.43
97, 0.43, 0.43
98, 0.35, 0.35
99, 0.43, 0.43
100, 0.4, 0.4
