age, man, woman
1, 0, 0
2, 0, 0
3, 0, 0
4, 0, 0
5, 0, 0
6, 0, 0
7, 0, 0
8, 0, 0
9, 0, 0
10, 0, 0
11, 0, 0
12, 0, 0
13, 0, 0
14, 0, 0
15, 0.02, 0.02
16, 0.01, 0.01
17, 0.05, 0.05
18, 0.06, 0.06
19, 0.04, 0.04
20, 0.08, 0.08
21, 0.05, 0.05
22, 0.08, 0.08
23, 0.06, 0.06
24, 0.16, 0.16
25, 0.07, 0.07
26, 0.14, 0.14
27, 0.17, 0.17
28, 0.16, 0.16
29, 0.21, 0.21
30, 0.23, 0.23
31, 0.29, 0.29
32, 0.3, 0.3
33, 0.31, 0.31
34, 0.29, 0.29
35, 0.55, 0.55
36, 0.47, 0.47
37, 0.58, 0.58
38, 0.77, 0.77
39, 0.74, 0.74
40, 0.86, 0.86
41, 0.94, 0.94
42, 0.9, 0.9
43, 1.03, 1.03
44, 1.16, 1.16
45, 1.31, 1.31
46, 1.59, 1.59
47, 1.58, 1.58
48, 1.79, 1.79
49, 1.87, 1.87
50, 2.15, 2.15
51, 2.04, 2.04
52, 2.44, 2.44
53, 2.27, 2.27
54, 2.44, 2.44
55, 2.48, 2.48
56, 2.79, 2.79
57, 2.85, 2.85
58, 2.58, 2.58
59, 3.61, 3.61
60, 3.01, 3.01
61, 3.21, 3.21
62, 3.06, 3.06
63, 3.02, 3.02
64, 3.19, 3.19
65, 3.19, 3.19
66, 2.96, 2.96
67, 3.09, 3.09
68, 2.83, 2.83
69, 2.8, 2.8
70, 2.86, 2.86
71, 2.81, 2.81
72, 2.38, 2.38
73, 2.28, 2.28
74, 1.89, 1.89
75, 1.8, 1.8
76, 1.66, 1.66
77, 1.66, 1.66
78, 1.4, 1.4
79, 1.02, 1.02
80, 1.04, 1.04
81, 1.02, 1.02
82, 0.81, 0.81
83, 0.52, 0.52
84, 0.39, 0.39
85, 0.4, 0.4
86, 0.28, 0.28
87, 0.27, 0.27
88, 0.24, 0.24
89, 0.14, 0.14
90, 0.03, 0.03
91, 0.04, 0.04
92, 0.05, 0.05
93, 0.04, 0.04
94, 0, 0
95, 0, 0
96, 0.01, 0.01
97, 0.01, 0.01
98, 0, 0
99, 0.01, 0.01
100, 0.01, 0.01
