age, man, woman
8, 0.03, 0.03
9, 0.02, 0.02
10, 0.04, 0.04
11, 0.07, 0.07
12, 0.12, 0.12
13, 0.09, 0.09
14, 0.13, 0.13
15, 0.13, 0.13
16, 0.15, 0.15
17, 0.3, 0.3
18, 0.29, 0.29
19, 0.25, 0.25
20, 0.26, 0.26
21, 0.38, 0.38
22, 0.39, 0.39
23, 0.6, 0.6
24, 0.41, 0.41
25, 0.5, 0.5
26, 0.49, 0.49
27, 0.75, 0.75
28, 0.57, 0.57
29, 0.77, 0.77
30, 0.89, 0.89
31, 0.76, 0.76
32, 0.87, 0.87
33, 1.01, 1.01
34, 1.1, 1.1
35, 1.14, 1.14
36, 1.19, 1.19
37, 1.29, 1.29
38, 1.52, 1.52
39, 1.52, 1.52
40, 1.61, 1.61
41, 1.45, 1.45
42, 1.63, 1.63
43, 1.63, 1.63
44, 1.82, 1.82
45, 2.26, 2.26
46, 1.91, 1.91
47, 2.07, 2.07
48, 2.1, 2.1
49, 2.17, 2.17
50, 2.08, 2.08
51, 2.38, 2.38
52, 2.49, 2.49
53, 2.59, 2.59
54, 2.33, 2.33
55, 2.69, 2.69
56, 2.14, 2.14
57, 2.46, 2.46
58, 2.29, 2.29
59, 2.61, 2.61
60, 2.18, 2.18
61, 2.14, 2.14
62, 2.53, 2.53
63, 2.22, 2.22
64, 2.16, 2.16
65, 1.84, 1.84
66, 2.06, 2.06
67, 1.69, 1.69
68, 1.86, 1.86
69, 1.83, 1.83
70, 1.59, 1.59
71, 1.34, 1.34
72, 1.51, 1.51
73, 1.3, 1.3
74, 1.32, 1.32
75, 1.2, 1.2
76, 1.12, 1.12
77, 1.04, 1.04
78, 0.93, 0.93
79, 0.9, 0.9
80, 0.96, 0.96
81, 0.74, 0.74
82, 0.62, 0.62
83, 0.71, 0.71
84, 0.47, 0.47
85, 0.49, 0.49
86, 0.43, 0.43
87, 0.22, 0.22
88, 0.32, 0.32
89, 0.22, 0.22
90, 0.23, 0.23
91, 0.21, 0.21
92, 0.18, 0.18
93, 0.12, 0.12
94, 0.1, 0.1
95, 0.08, 0.08
96, 0.02, 0.02
97, 0.07, 0.07
98, 0.07, 0.07
99, 0.03, 0.03
100, 0.04, 0.04
