age, man, woman
1, 1.04, 1.04
2, 1.12, 1.12
3, 1.22, 1.22
4, 1.25, 1.25
5, 1.22, 1.22
6, 1.27, 1.27
7, 1.11, 1.11
8, 1.42, 1.42
9, 1.34, 1.34
10, 1.31, 1.31
11, 1.18, 1.18
12, 1.38, 1.38
13, 0.99, 0.99
14, 1.12, 1.12
15, 1.08, 1.08
16, 1.15, 1.15
17, 1.24, 1.24
18, 1.09, 1.09
19, 1.19, 1.19
20, 1.43, 1.43
21, 1.21, 1.21
22, 1.1, 1.1
23, 1.02, 1.02
24, 1.17, 1.17
25, 1.01, 1.01
26, 0.7, 0.7
27, 1, 1
28, 1.01, 1.01
29, 1.01, 1.01
30, 0.92, 0.92
31, 0.78, 0.78
32, 0.91, 0.91
33, 0.9, 0.9
34, 1, 1
35, 1.05, 1.05
36, 0.94, 0.94
37, 0.97, 0.97
38, 0.95, 0.95
39, 0.73, 0.73
40, 0.87, 0.87
41, 0.94, 0.94
42, 0.96, 0.96
43, 0.84, 0.84
44, 0.79, 0.79
45, 0.94, 0.94
46, 0.79, 0.79
47, 1.04, 1.04
48, 0.88, 0.88
49, 0.86, 0.86
50, 0.95, 0.95
51, 0.71, 0.71
52, 0.84, 0.84
53, 0.84, 0.84
54, 0.73, 0.73
55, 0.63, 0.63
56, 0.86, 0.86
57, 0.81, 0.81
58, 0.72, 0.72
59, 0.58, 0.58
60, 0.61, 0.61
61, 0.68, 0.68
62, 0.61, 0.61
63, 0.58, 0.58
64, 0.62, 0.62
65, 0.65, 0.65
66, 0.61, 0.61
67, 0.67, 0.67
68, 0.73, 0.73
69, 0.65, 0.65
70, 0.65, 0.65
71, 0.55, 0.55
72, 0.55, 0.55
73, 0.53, 0.53
74, 0.56, 0.56
75, 0.48, 0.48
76, 0.45, 0.45
77, 0.54, 0.54
78, 0.43, 0.43
79, 0.45, 0.45
80, 0.47, 0.47
81, 0.56, 0.56
82, 0.57, 0.57
83, 0.43, 0.43
84, 0.47, 0.47
85, 0.46, 0.46
86, 0.6, 0.6
87, 0.41, 0.41
88, 0.4, 0.4
89, 0.43, 0.43
90, 0.44, 0.44
91, 0.41, 0.41
92, 0.43, 0.43
93, 0.33, 0.33
94, 0.39, 0.39
95, 0.44, 0.44
96, 0.45, 0.45
97, 0.45, 0.45
98, 0.44, 0.44
99, 0.32, 0.32
100, 0.35, 0.35
