age, man, woman
1, 2.5, 2.5
2, 1.84, 1.84
3, 1.73, 1.73
4, 1.67, 1.67
5, 1.63, 1.63
6, 1.62, 1.62
7, 1.53, 1.53
8, 1.46, 1.46
9, 1.38, 1.38
10, 1.44, 1.44
11, 1.57, 1.57
12, 1.57, 1.57
13, 1.28, 1.28
14, 1.3, 1.3
15, 1.24, 1.24
16, 1.14, 1.14
17, 1.1, 1.1
18, 1.13, 1.13
19, 1.13, 1.13
20, 1.06, 1.06
21, 1.12, 1.12
22, 1, 1
23, 1.12, 1.12
24, 1.12, 1.12
25, 1, 1
26, 0.86, 0.86
27, 1.06, 1.06
28, 0.85, 0.85
29, 0.97, 0.97
30, 0.85, 0.85
31, 0.87, 0.87
32, 1.11, 1.11
33, 0.83, 0.83
34, 0.84, 0.84
35, 0.77, 0.77
36, 0.89, 0.89
37, 0.75, 0.75
38, 0.87, 0.87
39, 0.8, 0.8
40, 0.66, 0.66
41, 0.63, 0.63
42, 0.56, 0.56
43, 0.64, 0.64
44, 0.72, 0.72
45, 0.62, 0.62
46, 0.65, 0.65
47, 0.68, 0.68
48, 0.61, 0.61
49, 0.65, 0.65
50, 0.64, 0.64
51, 0.75, 0.75
52, 0.51, 0.51
53, 0.69, 0.69
54, 0.72, 0.72
55, 0.63, 0.63
56, 0.48, 0.48
57, 0.47, 0.47
58, 0.59, 0.59
59, 0.62, 0.62
60, 0.49, 0.49
61, 0.58, 0.58
62, 0.43, 0.43
63, 0.56, 0.56
64, 0.54, 0.54
65, 0.46, 0.46
66, 0.51, 0.51
67, 0.46, 0.46
68, 0.43, 0.43
69, 0.51, 0.51
70, 0.52, 0.52
71, 0.59, 0.59
72, 0.41, 0.41
73, 0.46, 0.46
74, 0.46, 0.46
75, 0.52, 0.52
76, 0.39, 0.39
77, 0.33, 0.33
78, 0.48, 0.48
79, 0.48, 0.48
80, 0.36, 0.36
81, 0.45, 0.45
82, 0.35, 0.35
83, 0.46, 0.46
84, 0.21, 0.21
85, 0.34, 0.34
86, 0.33, 0.33
87, 0.37, 0.37
88, 0.37, 0.37
89, 0.41, 0.41
90, 0.39, 0.39
91, 0.36, 0.36
92, 0.35, 0.35
93, 0.4, 0.4
94, 0.25, 0.25
95, 0.26, 0.26
96, 0.37, 0.37
97, 0.35, 0.35
98, 0.3, 0.3
99, 0.27, 0.27
100, 0.45, 0.45
