age, man, woman
8, 0.47, 0.47
9, 0.5, 0.5
10, 0.5, 0.5
11, 0.55, 0.55
12, 0.61, 0.61
13, 0.8, 0.8
14, 0.71, 0.71
15, 0.84, 0.84
16, 0.91, 0.91
17, 0.97, 0.97
18, 0.97, 0.97
19, 0.98, 0.98
20, 1.04, 1.04
21, 1.09, 1.09
22, 1.04, 1.04
23, 1.17, 1.17
24, 1.21, 1.21
25, 1.25, 1.25
26, 1.09, 1.09
27, 1.16, 1.16
28, 1.18, 1.18
29, 1.32, 1.32
30, 1.15, 1.15
31, 1.39, 1.39
32, 1.4, 1.4
33, 1.65, 1.65
34, 1.19, 1.19
35, 1.34, 1.34
36, 1.45, 1.45
37, 1.35, 1.35
38, 1.44, 1.44
39, 1.3, 1.3
40, 1.42, 1.42
41, 1.35, 1.35
42, 1.54, 1.54
43, 1.36, 1.36
44, 1.31, 1.31
45, 1.41, 1.41
46, 1.25, 1.25
47, 1.17, 1.17
48, 1.3, 1.3
49, 1.46, 1.46
50, 1.4, 1.4
51, 1.34, 1.34
52, 1.46, 1.46
53, 1.19, 1.19
54, 1.3, 1.3
55, 1.4, 1.4
56, 1.36, 1.36
57, 1.14, 1.14
58, 1.25, 1.25
59, 1.24, 1.24
60, 1.11, 1.11
61, 1.16, 1.16
62, 1.2, 1.2
63, 1.08, 1.08
64, 1, 1
65, 1.07, 1.07
66, 1.26, 1.26
67, 1, 1
68, 0.88, 0.88
69, 1.17, 1.17
70, 1.11, 1.11
71, 0.92, 0.92
72, 1.01, 1.01
73, 0.89, 0.89
74, 0.72, 0.72
75, 0.92, 0.92
76, 0.74, 0.74
77, 0.68, 0.68
78, 0.64, 0.64
79, 0.89, 0.89
80, 0.67, 0.67
81, 0.88, 0.88
82, 0.7, 0.7
83, 0.68, 0.68
84, 0.73, 0.73
85, 0.64, 0.64
86, 0.53, 0.53
87, 0.45, 0.45
88, 0.58, 0.58
89, 0.51, 0.51
90, 0.63, 0.63
91, 0.6, 0.6
92, 0.44, 0.44
93, 0.45, 0.45
94, 0.49, 0.49
95, 0.51, 0.51
96, 0.47, 0.47
97, 0.35, 0.35
98, 0.48, 0.48
99, 0.36, 0.36
100, 0.55, 0.55
