age, man, woman
8, 0.01, 0.01
9, 0.03, 0.03
10, 0.01, 0.01
11, 0.04, 0.04
12, 0.05, 0.05
13, 0.05, 0.05
14, 0.07, 0.07
15, 0.08, 0.08
16, 0.08, 0.08
17, 0.11, 0.11
18, 0.13, 0.13
19, 0.19, 0.19
20, 0.24, 0.24
21, 0.19, 0.19
22, 0.31, 0.31
23, 0.28, 0.28
24, 0.38, 0.38
25, 0.42, 0.42
26, 0.44, 0.44
27, 0.55, 0.55
28, 0.43, 0.43
29, 0.52, 0.52
30, 0.57, 0.57
31, 0.67, 0.67
32, 0.85, 0.85
33, 0.96, 0.96
34, 1.1, 1.1
35, 0.91, 0.91
36, 1.22, 1.22
37, 1.38, 1.38
38, 1.37, 1.37
39, 1.45, 1.45
40, 1.49, 1.49
41, 1.61, 1.61
42, 1.85, 1.85
43, 1.54, 1.54
44, 2.16, 2.16
45, 2, 2
46, 1.95, 1.95
47, 2.16, 2.16
48, 2.41, 2.41
49, 2.22, 2.22
50, 2.55, 2.55
51, 2.67, 2.67
52, 2.43, 2.43
53, 2.47, 2.47
54, 2.29, 2.29
55, 2.3, 2.3
56, 2.67, 2.67
57, 3.02, 3.02
58, 2.74, 2.74
59, 2.76, 2.76
60, 2.5, 2.5
61, 2.59, 2.59
62, 2.36, 2.36
63, 2.24, 2.24
64, 2.42, 2.42
65, 2.3, 2.3
66, 2.25, 2.25
67, 2.11, 2.11
68, 2.29, 2.29
69, 1.76, 1.76
70, 1.69, 1.69
71, 1.83, 1.83
72, 1.44, 1.44
73, 1.37, 1.37
74, 1.33, 1.33
75, 1.25, 1.25
76, 1.02, 1.02
77, 0.97, 0.97
78, 0.65, 0.65
79, 0.82, 0.82
80, 0.7, 0.7
81, 0.73, 0.73
82, 0.43, 0.43
83, 0.46, 0.46
84, 0.49, 0.49
85, 0.33, 0.33
86, 0.23, 0.23
87, 0.32, 0.32
88, 0.13, 0.13
89, 0.09, 0.09
90, 0.08, 0.08
91, 0.11, 0.11
92, 0.11, 0.11
93, 0.04, 0.04
94, 0.06, 0.06
95, 0.05, 0.05
96, 0, 0
97, 0.01, 0.01
98, 0, 0
99, 0.01, 0.01
100, 0.01, 0.01
