age, man, woman
8, 0.02, 0.02
9, 0.04, 0.04
10, 0.03, 0.03
11, 0.03, 0.03
12, 0.07, 0.07
13, 0.06, 0.06
14, 0.06, 0.06
15, 0.14, 0.14
16, 0.1, 0.1
17, 0.14, 0.14
18, 0.14, 0.14
19, 0.22, 0.22
20, 0.22, 0.22
21, 0.25, 0.25
22, 0.23, 0.23
23, 0.35, 0.35
24, 0.41, 0.41
25, 0.42, 0.42
26, 0.49, 0.49
27, 0.53, 0.53
28, 0.53, 0.53
29, 0.77, 0.77
30, 0.84, 0.84
31, 0.85, 0.85
32, 0.96, 0.96
33, 1.04, 1.04
34, 1.16, 1.16
35, 1.1, 1.1
36, 1.18, 1.18
37, 1.36, 1.36
38, 1.26, 1.26
39, 1.3, 1.3
40, 1.78, 1.78
41, 1.65, 1.65
42, 1.66, 1.66
43, 1.9, 1.9
44, 1.84, 1.84
45, 1.91, 1.91
46, 1.95, 1.95
47, 2.11, 2.11
48, 2.06, 2.06
49, 2.28, 2.28
50, 2.31, 2.31
51, 2.34, 2.34
52, 2.47, 2.47
53, 2.6, 2.6
54, 2.63, 2.63
55, 2.51, 2.51
56, 2.63, 2.63
57, 2.43, 2.43
58, 2.4, 2.4
59, 2.52, 2.52
60, 2.48, 2.48
61, 2.33, 2.33
62, 2.58, 2.58
63, 2.32, 2.32
64, 2.15, 2.15
65, 2.06, 2.06
66, 1.94, 1.94
67, 1.96, 1.96
68, 1.74, 1.74
69, 1.9, 1.9
70, 1.56, 1.56
71, 1.79, 1.79
72, 1.57, 1.57
73, 1.59, 1.59
74, 1.42, 1.42
75, 1.2, 1.2
76, 1.11, 1.11
77, 0.96, 0.96
78, 1.02, 1.02
79, 0.8, 0.8
80, 0.83, 0.83
81, 0.58, 0.58
82, 0.68, 0.68
83, 0.39, 0.39
84, 0.49, 0.49
85, 0.4, 0.4
86, 0.28, 0.28
87, 0.34, 0.34
88, 0.23, 0.23
89, 0.22, 0.22
90, 0.18, 0.18
91, 0.11, 0.11
92, 0.13, 0.13
93, 0.09, 0.09
94, 0.08, 0.08
95, 0.07, 0.07
96, 0.03, 0.03
97, 0.05, 0.05
98, 0.03, 0.03
99, 0, 0
100, 0, 0
