age, man, woman
8, 0.01, 0.01
9, 0.03, 0.03
10, 0.02, 0.02
11, 0.04, 0.04
12, 0.04, 0.04
13, 0.04, 0.04
14, 0.06, 0.06
15, 0.13, 0.13
16, 0.05, 0.05
17, 0.1, 0.1
18, 0.25, 0.25
19, 0.2, 0.2
20, 0.23, 0.23
21, 0.24, 0.24
22, 0.28, 0.28
23, 0.37, 0.37
24, 0.42, 0.42
25, 0.37, 0.37
26, 0.43, 0.43
27, 0.52, 0.52
28, 0.59, 0.59
29, 0.72, 0.72
30, 0.77, 0.77
31, 0.86, 0.86
32, 0.9, 0.9
33, 0.94, 0.94
34, 1.33, 1.33
35, 1.02, 1.02
36, 1.13, 1.13
37, 1.33, 1.33
38, 1.43, 1.43
39, 1.5, 1.5
40, 1.45, 1.45
41, 1.56, 1.56
42, 1.95, 1.95
43, 1.65, 1.65
44, 2, 2
45, 2.01, 2.01
46, 1.96, 1.96
47, 2.19, 2.19
48, 2.17, 2.17
49, 2.39, 2.39
50, 2.36, 2.36
51, 2.24, 2.24
52, 2.63, 2.63
53, 2.48, 2.48
54, 2.48, 2.48
55, 2.43, 2.43
56, 2.55, 2.55
57, 2.21, 2.21
58, 2.66, 2.66
59, 2.51, 2.51
60, 2.34, 2.34
61, 2.34, 2.34
62, 2.38, 2.38
63, 2.5, 2.5
64, 2.28, 2.28
65, 2.26, 2.26
66, 2.03, 2.03
67, 2.12, 2.12
68, 1.95, 1.95
69, 1.79, 1.79
70, 1.56, 1.56
71, 1.59, 1.59
72, 1.42, 1.42
73, 1.55, 1.55
74, 1.37, 1.37
75, 1.3, 1.3
76, 1.07, 1.07
77, 1.03, 1.03
78, 0.94, 0.94
79, 0.78, 0.78
80, 0.57, 0.57
81, 0.62, 0.62
82, 0.54, 0.54
83, 0.48, 0.48
84, 0.48, 0.48
85, 0.54, 0.54
86, 0.48, 0.48
87, 0.21, 0.21
88, 0.15, 0.15
89, 0.19, 0.19
90, 0.18, 0.18
91, 0.1, 0.1
92, 0.11, 0.11
93, 0.08, 0.08
94, 0.09, 0.09
95, 0.1, 0.1
96, 0.06, 0.06
97, 0.02, 0.02
98, 0.01, 0.01
99, 0.03, 0.03
100, 0.02, 0.02
