age, man, woman
8, 0, 0
9, 0, 0
10, 0.01, 0.01
11, 0.01, 0.01
12, 0.02, 0.02
13, 0.01, 0.01
14, 0.02, 0.02
15, 0.05, 0.05
16, 0.04, 0.04
17, 0.05, 0.05
18, 0.07, 0.07
19, 0.05, 0.05
20, 0.08, 0.08
21, 0.09, 0.09
22, 0.25, 0.25
23, 0.13, 0.13
24, 0.22, 0.22
25, 0.25, 0.25
26, 0.32, 0.32
27, 0.38, 0.38
28, 0.46, 0.46
29, 0.49, 0.49
30, 0.59, 0.59
31, 0.62, 0.62
32, 0.64, 0.64
33, 0.69, 0.69
34, 0.86, 0.86
35, 0.9, 0.9
36, 0.96, 0.96
37, 1.16, 1.16
38, 1.21, 1.21
39, 1.36, 1.36
40, 1.4, 1.4
41, 1.66, 1.66
42, 1.38, 1.38
43, 1.56, 1.56
44, 1.84, 1.84
45, 1.83, 1.83
46, 2.31, 2.31
47, 2.61, 2.61
48, 2.48, 2.48
49, 2.79, 2.79
50, 2.44, 2.44
51, 2.96, 2.96
52, 2.84, 2.84
53, 2.83, 2.83
54, 2.71, 2.71
55, 3.11, 3.11
56, 2.78, 2.78
57, 3.27, 3.27
58, 3.08, 3.08
59, 3.21, 3.21
60, 3.11, 3.11
61, 2.92, 2.92
62, 2.81, 2.81
63, 2.62, 2.62
64, 2.7, 2.7
65, 2.7, 2.7
66, 2.23, 2.23
67, 2.41, 2.41
68, 2.02, 2.02
69, 2.19, 2.19
70, 1.66, 1.66
71, 1.88, 1.88
72, 1.41, 1.41
73, 1.33, 1.33
74, 1.31, 1.31
75, 1.12, 1.12
76, 0.8, 0.8
77, 0.64, 0.64
78, 0.57, 0.57
79, 0.4, 0.4
80, 0.48, 0.48
81, 0.3, 0.3
82, 0.35, 0.35
83, 0.26, 0.26
84, 0.17, 0.17
85, 0.16, 0.16
86, 0.12, 0.12
87, 0.06, 0.06
88, 0.06, 0.06
89, 0.06, 0.06
90, 0.01, 0.01
91, 0.01, 0.01
92, 0, 0
93, 0.03, 0.03
94, 0.01, 0.01
95, 0, 0
96, 0.01, 0.01
97, 0, 0
98, 0, 0
99, 0, 0
100, 0, 0
