age, man, woman
1, 0, 0
2, 0, 0
3, 0, 0
4, 0, 0
5, 0, 0
6, 0, 0
7, 0, 0
8, 0, 0
9, 0, 0
10, 0.01, 0.01
11, 0, 0
12, 0.01, 0.01
13, 0.01, 0.01
14, 0.05, 0.05
15, 0.01, 0.01
16, 0.11, 0.11
17, 0.05, 0.05
18, 0.08, 0.08
19, 0.09, 0.09
20, 0.11, 0.11
21, 0.06, 0.06
22, 0.12, 0.12
23, 0.17, 0.17
24, 0.22, 0.22
25, 0.19, 0.19
26, 0.2, 0.2
27, 0.33, 0.33
28, 0.46, 0.46
29, 0.47, 0.47
30, 0.44, 0.44
31, 0.47, 0.47
32, 0.64, 0.64
33, 0.55, 0.55
34, 0.58, 0.58
35, 0.67, 0.67
36, 0.74, 0.74
37, 0.92, 0.92
38, 0.77, 0.77
39, 1.07, 1.07
40, 1.19, 1.19
41, 1.13, 1.13
42, 1.24, 1.24
43, 1.34, 1.34
44, 1.31, 1.31
45, 1.38, 1.38
46, 1.67, 1.67
47, 1.88, 1.88
48, 1.94, 1.94
49, 1.67, 1.67
50, 2.05, 2.05
51, 2.02, 2.02
52, 2.34, 2.34
53, 2.08, 2.08
54, 2.13, 2.13
55, 2.05, 2.05
56, 2.6, 2.6
57, 2.69, 2.69
58, 2.75, 2.75
59, 2.68, 2.68
60, 2.8, 2.8
61, 2.49, 2.49
62, 2.67, 2.67
63, 2.69, 2.69
64, 2.73, 2.73
65, 2.33, 2.33
66, 2.58, 2.58
67, 2.62, 2.62
68, 2.2, 2.2
69, 2.17, 2.17
70, 2.16, 2.16
71, 1.94, 1.94
72, 2.31, 2.31
73, 2.25, 2.25
74, 1.93, 1.93
75, 1.73, 1.73
76, 1.89, 1.89
77, 1.2, 1.2
78, 1.27, 1.27
79, 1.31, 1.31
80, 1.3, 1.3
81, 1.03, 1.03
82, 0.98, 0.98
83, 0.94, 0.94
84, 0.75, 0.75
85, 0.65, 0.65
86, 0.5, 0.5
87, 0.54, 0.54
88, 0.35, 0.35
89, 0.32, 0.32
90, 0.27, 0.27
91, 0.25, 0.25
92, 0.28, 0.28
93, 0.19, 0.19
94, 0.15, 0.15
95, 0.09, 0.09
96, 0.05, 0.05
97, 0.07, 0.07
98, 0.05, 0.05
99, 0.05, 0.05
100, 0.06, 0.06
