age, man, woman
8, 0.01, 0.01
9, 0.03, 0.03
10, 0, 0
11, 0.03, 0.03
12, 0.05, 0.05
13, 0.11, 0.11
14, 0.1, 0.1
15, 0.13, 0.13
16, 0.13, 0.13
17, 0.11, 0.11
18, 0.23, 0.23
19, 0.21, 0.21
20, 0.18, 0.18
21, 0.29, 0.29
22, 0.21, 0.21
23, 0.26, 0.26
24, 0.38, 0.38
25, 0.46, 0.46
26, 0.57, 0.57
27, 0.6, 0.6
28, 0.69, 0.69
29, 0.66, 0.66
30, 0.88, 0.88
31, 0.78, 0.78
32, 0.88, 0.88
33, 1.16, 1.16
34, 1.12, 1.12
35, 1.18, 1.18
36, 1.29, 1.29
37, 1.19, 1.19
38, 1.36, 1.36
39, 1.57, 1.57
40, 1.49, 1.49
41, 1.64, 1.64
42, 1.49, 1.49
43, 1.88, 1.88
44, 2.14, 2.14
45, 2, 2
46, 1.91, 1.91
47, 2.29, 2.29
48, 1.96, 1.96
49, 2.33, 2.33
50, 2.38, 2.38
51, 2.33, 2.33
52, 2.41, 2.41
53, 2.48, 2.48
54, 2.51, 2.51
55, 2.41, 2.41
56, 2.4, 2.4
57, 2.68, 2.68
58, 2.53, 2.53
59, 2.6, 2.6
60, 2.36, 2.36
61, 2.65, 2.65
62, 2.33, 2.33
63, 2.38, 2.38
64, 2.25, 2.25
65, 2.1, 2.1
66, 1.98, 1.98
67, 1.65, 1.65
68, 1.91, 1.91
69, 1.72, 1.72
70, 1.68, 1.68
71, 1.58, 1.58
72, 1.51, 1.51
73, 1.46, 1.46
74, 1.26, 1.26
75, 1.15, 1.15
76, 1.17, 1.17
77, 0.99, 0.99
78, 0.84, 0.84
79, 0.85, 0.85
80, 0.86, 0.86
81, 0.54, 0.54
82, 0.64, 0.64
83, 0.49, 0.49
84, 0.49, 0.49
85, 0.38, 0.38
86, 0.27, 0.27
87, 0.32, 0.32
88, 0.27, 0.27
89, 0.21, 0.21
90, 0.23, 0.23
91, 0.12, 0.12
92, 0.17, 0.17
93, 0.1, 0.1
94, 0.05, 0.05
95, 0.06, 0.06
96, 0.06, 0.06
97, 0.09, 0.09
98, 0.02, 0.02
99, 0.03, 0.03
100, 0, 0
