age, man, woman
1, 0, 0
2, 0, 0
3, 0, 0
4, 0, 0
5, 0, 0
6, 0, 0
7, 0, 0
8, 0, 0
9, 0, 0
10, 0, 0
11, 0, 0
12, 0, 0
13, 0.01, 0.01
14, 0, 0
15, 0, 0
16, 0.03, 0.03
17, 0.04, 0.04
18, 0.06, 0.06
19, 0.04, 0.04
20, 0.05, 0.05
21, 0.05, 0.05
22, 0.15, 0.15
23, 0.09, 0.09
24, 0.06, 0.06
25, 0.18, 0.18
26, 0.14, 0.14
27, 0.18, 0.18
28, 0.29, 0.29
29, 0.27, 0.27
30, 0.44, 0.44
31, 0.34, 0.34
32, 0.29, 0.29
33, 0.44, 0.44
34, 0.66, 0.66
35, 0.62, 0.62
36, 0.67, 0.67
37, 0.75, 0.75
38, 0.62, 0.62
39, 0.8, 0.8
40, 0.83, 0.83
41, 1.07, 1.07
42, 1.17, 1.17
43, 1.09, 1.09
44, 1.28, 1.28
45, 1.25, 1.25
46, 1.62, 1.62
47, 1.61, 1.61
48, 1.61, 1.61
49, 1.88, 1.88
50, 1.84, 1.84
51, 2.05, 2.05
52, 2.24, 2.24
53, 2.35, 2.35
54, 2.41, 2.41
55, 2.43, 2.43
56, 2.61, 2.61
57, 2.83, 2.83
58, 2.98, 2.98
59, 2.7, 2.7
60, 3.1, 3.1
61, 3.18, 3.18
62, 3.39, 3.39
63, 2.99, 2.99
64, 2.81, 2.81
65, 2.99, 2.99
66, 2.91, 2.91
67, 2.93, 2.93
68, 2.69, 2.69
69, 2.65, 2.65
70, 2.92, 2.92
71, 2.71, 2.71
72, 2.28, 2.28
73, 1.9, 1.9
74, 2.01, 2.01
75, 1.67, 1.67
76, 1.64, 1.64
77, 1.35, 1.35
78, 1.53, 1.53
79, 1.27, 1.27
80, 0.95, 0.95
81, 0.92, 0.92
82, 0.91, 0.91
83, 0.63, 0.63
84, 0.57, 0.57
85, 0.51, 0.51
86, 0.27, 0.27
87, 0.23, 0.23
88, 0.24, 0.24
89, 0.18, 0.18
90, 0.17, 0.17
91, 0.14, 0.14
92, 0.07, 0.07
93, 0.05, 0.05
94, 0.04, 0.04
95, 0.02, 0.02
96, 0.04, 0.04
97, 0, 0
98, 0, 0
99, 0.01, 0.01
100, 0.01, 0.01
