age, man, woman
8, 0.05, 0.05
9, 0.09, 0.09
10, 0.1, 0.1
11, 0.11, 0.11
12, 0.14, 0.14
13, 0.2, 0.2
14, 0.17, 0.17
15, 0.3, 0.3
16, 0.32, 0.32
17, 0.35, 0.35
18, 0.37, 0.37
19, 0.39, 0.39
20, 0.43, 0.43
21, 0.67, 0.67
22, 0.63, 0.63
23, 0.61, 0.61
24, 0.74, 0.74
25, 0.8, 0.8
26, 0.89, 0.89
27, 0.97, 0.97
28, 0.82, 0.82
29, 0.99, 0.99
30, 1.18, 1.18
31, 0.93, 0.93
32, 1.09, 1.09
33, 1.39, 1.39
34, 1.15, 1.15
35, 1.29, 1.29
36, 1.6, 1.6
37, 1.37, 1.37
38, 1.45, 1.45
39, 1.39, 1.39
40, 1.65, 1.65
41, 1.63, 1.63
42, 1.79, 1.79
43, 1.73, 1.73
44, 1.86, 1.86
45, 1.96, 1.96
46, 1.8, 1.8
47, 1.92, 1.92
48, 1.96, 1.96
49, 1.77, 1.77
50, 1.97, 1.97
51, 2.11, 2.11
52, 1.95, 1.95
53, 1.96, 1.96
54, 2.03, 2.03
55, 2, 2
56, 1.92, 1.92
57, 1.84, 1.84
58, 1.79, 1.79
59, 1.91, 1.91
60, 1.91, 1.91
61, 1.96, 1.96
62, 1.65, 1.65
63, 1.67, 1.67
64, 1.99, 1.99
65, 1.64, 1.64
66, 1.74, 1.74
67, 1.58, 1.58
68, 1.57, 1.57
69, 1.47, 1.47
70, 1.37, 1.37
71, 1.29, 1.29
72, 1.43, 1.43
73, 1.3, 1.3
74, 1.33, 1.33
75, 1.14, 1.14
76, 1.2, 1.2
77, 1.08, 1.08
78, 0.84, 0.84
79, 0.78, 0.78
80, 0.87, 0.87
81, 0.74, 0.74
82, 0.88, 0.88
83, 0.71, 0.71
84, 0.88, 0.88
85, 0.61, 0.61
86, 0.59, 0.59
87, 0.51, 0.51
88, 0.52, 0.52
89, 0.42, 0.42
90, 0.47, 0.47
91, 0.39, 0.39
92, 0.41, 0.41
93, 0.26, 0.26
94, 0.26, 0.26
95, 0.24, 0.24
96, 0.27, 0.27
97, 0.17, 0.17
98, 0.19, 0.19
99, 0.12, 0.12
100, 0.19, 0.19
