age, man, woman
1, 0, 0
2, 0, 0
3, 0, 0
4, 0, 0
5, 0.01, 0.01
6, 0, 0
7, 0.02, 0.02
8, 0.03, 0.03
9, 0.02, 0.02
10, 0.1, 0.1
11, 0.05, 0.05
12, 0.05, 0.05
13, 0.08, 0.08
14, 0.09, 0.09
15, 0.1, 0.1
16, 0.21, 0.21
17, 0.15, 0.15
18, 0.2, 0.2
19, 0.21, 0.21
20, 0.28, 0.28
21, 0.25, 0.25
22, 0.42, 0.42
23, 0.32, 0.32
24, 0.57, 0.57
25, 0.35, 0.35
26, 0.53, 0.53
27, 0.39, 0.39
28, 0.49, 0.49
29, 0.79, 0.79
30, 0.65, 0.65
31, 0.81, 0.81
32, 0.58, 0.58
33, 0.76, 0.76
34, 1.05, 1.05
35, 1.13, 1.13
36, 1.04, 1.04
37, 1.04, 1.04
38, 1.25, 1.25
39, 1.29, 1.29
40, 1.33, 1.33
41, 1.4, 1.4
42, 1.67, 1.67
43, 1.45, 1.45
44, 1.73, 1.73
45, 1.63, 1.63
46, 1.46, 1.46
47, 1.67, 1.67
48, 1.72, 1.72
49, 2.01, 2.01
50, 1.86, 1.86
51, 2.04, 2.04
52, 1.64, 1.64
53, 1.66, 1.66
54, 1.81, 1.81
55, 2.11, 2.11
56, 2.26, 2.26
57, 2.08, 2.08
58, 1.86, 1.86
59, 2.38, 2.38
60, 2.1, 2.1
61, 2.02, 2.02
62, 2.22, 2.22
63, 2.11, 2.11
64, 1.94, 1.94
65, 2.12, 2.12
66, 2.03, 2.03
67, 1.62, 1.62
68, 1.8, 1.8
69, 1.94, 1.94
70, 1.79, 1.79
71, 1.93, 1.93
72, 1.84, 1.84
73, 1.66, 1.66
74, 1.6, 1.6
75, 1.29, 1.29
76, 1.48, 1.48
77, 1.38, 1.38
78, 1.22, 1.22
79, 1.41, 1.41
80, 1.24, 1.24
81, 1.17, 1.17
82, 1, 1
83, 1.08, 1.08
84, 0.94, 0.94
85, 0.76, 0.76
86, 0.81, 0.81
87, 0.68, 0.68
88, 0.7, 0.7
89, 0.57, 0.57
90, 0.59, 0.59
91, 0.33, 0.33
92, 0.41, 0.41
93, 0.4, 0.4
94, 0.47, 0.47
95, 0.3, 0.3
96, 0.23, 0.23
97, 0.25, 0.25
98, 0.23, 0.23
99, 0.21, 0.21
100, 0.21, 0.21
