age, man, woman
1, 0, 0
2, 0, 0
3, 0, 0
4, 0, 0
5, 0, 0
6, 0, 0
7, 0, 0
8, 0, 0
9, 0, 0
10, 0, 0
11, 0, 0
12, 0, 0
13, 0.02, 0.02
14, 0.01, 0.01
15, 0.02, 0.02
16, 0.04, 0.04
17, 0.03, 0.03
18, 0.06, 0.06
19, 0.06, 0.06
20, 0.07, 0.07
21, 0.08, 0.08
22, 0.05, 0.05
23, 0.15, 0.15
24, 0.17, 0.17
25, 0.13, 0.13
26, 0.2, 0.2
27, 0.3, 0.3
28, 0.24, 0.24
29, 0.25, 0.25
30, 0.31, 0.31
31, 0.35, 0.35
32, 0.48, 0.48
33, 0.37, 0.37
34, 0.63, 0.63
35, 0.66, 0.66
36, 0.69, 0.69
37, 0.88, 0.88
38, 0.63, 0.63
39, 1, 1
40, 1.07, 1.07
41, 0.92, 0.92
42, 1.26, 1.26
43, 1.26, 1.26
44, 1.38, 1.38
45, 1.4, 1.4
46, 1.69, 1.69
47, 1.88, 1.88
48, 1.91, 1.91
49, 1.94, 1.94
50, 1.88, 1.88
51, 1.86, 1.86
52, 2.31, 2.31
53, 2.56, 2.56
54, 2.2, 2.2
55, 2.5, 2.5
56, 2.43, 2.43
57, 2.65, 2.65
58, 2.69, 2.69
59, 2.59, 2.59
60, 2.87, 2.87
61, 3.18, 3.18
62, 2.69, 2.69
63, 2.62, 2.62
64, 3.21, 3.21
65, 2.73, 2.73
66, 2.82, 2.82
67, 2.66, 2.66
68, 2.55, 2.55
69, 2.59, 2.59
70, 2.38, 2.38
71, 2.38, 2.38
72, 2.07, 2.07
73, 2.01, 2.01
74, 1.88, 1.88
75, 2.02, 2.02
76, 1.59, 1.59
77, 1.56, 1.56
78, 1.24, 1.24
79, 1.32, 1.32
80, 1.08, 1.08
81, 1.05, 1.05
82, 1.01, 1.01
83, 0.76, 0.76
84, 0.52, 0.52
85, 0.54, 0.54
86, 0.48, 0.48
87, 0.47, 0.47
88, 0.31, 0.31
89, 0.29, 0.29
90, 0.18, 0.18
91, 0.13, 0.13
92, 0.19, 0.19
93, 0.1, 0.1
94, 0.07, 0.07
95, 0.06, 0.06
96, 0.03, 0.03
97, 0.02, 0.02
98, 0.02, 0.02
99, 0.03, 0.03
100, 0.03, 0.03
