age, man, woman
1, 0, 0
2, 0, 0
3, 0, 0
4, 0, 0
5, 0, 0
6, 0, 0
7, 0, 0
8, 0, 0
9, 0, 0
10, 0.01, 0.01
11, 0.01, 0.01
12, 0.01, 0.01
13, 0, 0
14, 0.02, 0.02
15, 0.01, 0.01
16, 0.04, 0.04
17, 0.03, 0.03
18, 0.01, 0.01
19, 0.03, 0.03
20, 0.1, 0.1
21, 0.07, 0.07
22, 0.13, 0.13
23, 0.08, 0.08
24, 0.12, 0.12
25, 0.14, 0.14
26, 0.18, 0.18
27, 0.23, 0.23
28, 0.27, 0.27
29, 0.3, 0.3
30, 0.2, 0.2
31, 0.27, 0.27
32, 0.36, 0.36
33, 0.39, 0.39
34, 0.43, 0.43
35, 0.41, 0.41
36, 0.61, 0.61
37, 0.8, 0.8
38, 0.7, 0.7
39, 0.83, 0.83
40, 0.94, 0.94
41, 0.94, 0.94
42, 1.36, 1.36
43, 1.19, 1.19
44, 1.62, 1.62
45, 1.42, 1.42
46, 1.69, 1.69
47, 1.69, 1.69
48, 1.66, 1.66
49, 1.69, 1.69
50, 1.96, 1.96
51, 2.07, 2.07
52, 2.19, 2.19
53, 2.14, 2.14
54, 2.85, 2.85
55, 2.42, 2.42
56, 2.51, 2.51
57, 2.56, 2.56
58, 2.49, 2.49
59, 2.72, 2.72
60, 2.8, 2.8
61, 2.78, 2.78
62, 3.01, 3.01
63, 2.83, 2.83
64, 3.24, 3.24
65, 3.05, 3.05
66, 2.94, 2.94
67, 2.67, 2.67
68, 2.75, 2.75
69, 2.29, 2.29
70, 2.61, 2.61
71, 2.38, 2.38
72, 2.49, 2.49
73, 2.18, 2.18
74, 2, 2
75, 1.87, 1.87
76, 1.97, 1.97
77, 1.48, 1.48
78, 1.41, 1.41
79, 1.38, 1.38
80, 1.17, 1.17
81, 0.98, 0.98
82, 0.86, 0.86
83, 0.78, 0.78
84, 0.56, 0.56
85, 0.52, 0.52
86, 0.47, 0.47
87, 0.37, 0.37
88, 0.26, 0.26
89, 0.22, 0.22
90, 0.17, 0.17
91, 0.18, 0.18
92, 0.13, 0.13
93, 0.09, 0.09
94, 0.07, 0.07
95, 0.04, 0.04
96, 0.03, 0.03
97, 0.03, 0.03
98, 0.01, 0.01
99, 0.02, 0.02
100, 0, 0
