age, man, woman
8, 0, 0
9, 0.03, 0.03
10, 0.06, 0.06
11, 0.03, 0.03
12, 0.1, 0.1
13, 0.04, 0.04
14, 0.08, 0.08
15, 0.06, 0.06
16, 0.04, 0.04
17, 0.19, 0.19
18, 0.17, 0.17
19, 0.18, 0.18
20, 0.29, 0.29
21, 0.2, 0.2
22, 0.26, 0.26
23, 0.31, 0.31
24, 0.34, 0.34
25, 0.39, 0.39
26, 0.55, 0.55
27, 0.64, 0.64
28, 0.53, 0.53
29, 0.76, 0.76
30, 0.86, 0.86
31, 0.9, 0.9
32, 0.86, 0.86
33, 1.11, 1.11
34, 1.16, 1.16
35, 1.26, 1.26
36, 1.16, 1.16
37, 1.32, 1.32
38, 1.37, 1.37
39, 1.64, 1.64
40, 1.73, 1.73
41, 1.64, 1.64
42, 1.55, 1.55
43, 2, 2
44, 1.89, 1.89
45, 2.02, 2.02
46, 2.01, 2.01
47, 2.29, 2.29
48, 2.29, 2.29
49, 2.28, 2.28
50, 2.3, 2.3
51, 2.42, 2.42
52, 2.24, 2.24
53, 2.6, 2.6
54, 2.6, 2.6
55, 2.26, 2.26
56, 2.64, 2.64
57, 2.61, 2.61
58, 2.5, 2.5
59, 2.51, 2.51
60, 2.61, 2.61
61, 2.18, 2.18
62, 2.37, 2.37
63, 2.36, 2.36
64, 2.11, 2.11
65, 1.89, 1.89
66, 2.21, 2.21
67, 2.04, 2.04
68, 1.58, 1.58
69, 1.88, 1.88
70, 1.75, 1.75
71, 1.69, 1.69
72, 1.52, 1.52
73, 1.32, 1.32
74, 1.39, 1.39
75, 1.21, 1.21
76, 1.12, 1.12
77, 0.81, 0.81
78, 0.92, 0.92
79, 0.76, 0.76
80, 0.62, 0.62
81, 0.49, 0.49
82, 0.51, 0.51
83, 0.6, 0.6
84, 0.33, 0.33
85, 0.51, 0.51
86, 0.48, 0.48
87, 0.31, 0.31
88, 0.19, 0.19
89, 0.14, 0.14
90, 0.16, 0.16
91, 0.1, 0.1
92, 0.15, 0.15
93, 0.12, 0.12
94, 0.12, 0.12
95, 0.04, 0.04
96, 0.04, 0.04
97, 0.04, 0.04
98, 0, 0
99, 0.02, 0.02
100, 0.01, 0.01
