age, man, woman
8, 0.03, 0.03
9, 0, 0
10, 0, 0
11, 0.01, 0.01
12, 0.05, 0.05
13, 0.02, 0.02
14, 0.02, 0.02
15, 0.06, 0.06
16, 0.07, 0.07
17, 0.14, 0.14
18, 0.14, 0.14
19, 0.15, 0.15
20, 0.16, 0.16
21, 0.18, 0.18
22, 0.23, 0.23
23, 0.3, 0.3
24, 0.33, 0.33
25, 0.41, 0.41
26, 0.46, 0.46
27, 0.44, 0.44
28, 0.52, 0.52
29, 0.57, 0.57
30, 0.61, 0.61
31, 0.7, 0.7
32, 0.77, 0.77
33, 0.97, 0.97
34, 0.91, 0.91
35, 1.06, 1.06
36, 1.17, 1.17
37, 1.36, 1.36
38, 1.54, 1.54
39, 1.51, 1.51
40, 1.73, 1.73
41, 1.39, 1.39
42, 1.62, 1.62
43, 2.03, 2.03
44, 1.74, 1.74
45, 1.97, 1.97
46, 2.22, 2.22
47, 1.98, 1.98
48, 2.7, 2.7
49, 2.21, 2.21
50, 2.57, 2.57
51, 2.64, 2.64
52, 2.44, 2.44
53, 2.6, 2.6
54, 2.9, 2.9
55, 2.23, 2.23
56, 2.55, 2.55
57, 2.52, 2.52
58, 2.9, 2.9
59, 2.44, 2.44
60, 2.69, 2.69
61, 2.92, 2.92
62, 2.59, 2.59
63, 2.45, 2.45
64, 2.45, 2.45
65, 2.19, 2.19
66, 2.41, 2.41
67, 1.78, 1.78
68, 1.88, 1.88
69, 1.84, 1.84
70, 1.73, 1.73
71, 1.94, 1.94
72, 1.64, 1.64
73, 1.43, 1.43
74, 1.19, 1.19
75, 1.18, 1.18
76, 0.88, 0.88
77, 0.95, 0.95
78, 0.85, 0.85
79, 0.52, 0.52
80, 0.64, 0.64
81, 0.67, 0.67
82, 0.57, 0.57
83, 0.4, 0.4
84, 0.36, 0.36
85, 0.31, 0.31
86, 0.36, 0.36
87, 0.15, 0.15
88, 0.13, 0.13
89, 0.15, 0.15
90, 0.1, 0.1
91, 0.08, 0.08
92, 0.09, 0.09
93, 0.05, 0.05
94, 0.02, 0.02
95, 0.04, 0.04
96, 0.04, 0.04
97, 0.01, 0.01
98, 0.02, 0.02
99, 0, 0
100, 0.01, 0.01
