age, man, woman
8, 0.1, 0.1
9, 0.07, 0.07
10, 0.1, 0.1
11, 0.11, 0.11
12, 0.2, 0.2
13, 0.32, 0.32
14, 0.26, 0.26
15, 0.28, 0.28
16, 0.31, 0.31
17, 0.44, 0.44
18, 0.42, 0.42
19, 0.57, 0.57
20, 0.59, 0.59
21, 0.51, 0.51
22, 0.67, 0.67
23, 0.69, 0.69
24, 0.65, 0.65
25, 0.7, 0.7
26, 0.74, 0.74
27, 0.83, 0.83
28, 1.1, 1.1
29, 1.12, 1.12
30, 0.98, 0.98
31, 1.28, 1.28
32, 1.37, 1.37
33, 1.18, 1.18
34, 1.34, 1.34
35, 1.24, 1.24
36, 1.25, 1.25
37, 1.61, 1.61
38, 1.63, 1.63
39, 1.65, 1.65
40, 1.77, 1.77
41, 1.64, 1.64
42, 1.73, 1.73
43, 1.84, 1.84
44, 1.67, 1.67
45, 1.72, 1.72
46, 1.85, 1.85
47, 1.61, 1.61
48, 1.8, 1.8
49, 1.62, 1.62
50, 1.65, 1.65
51, 1.83, 1.83
52, 2.01, 2.01
53, 1.92, 1.92
54, 2.17, 2.17
55, 1.94, 1.94
56, 1.68, 1.68
57, 1.8, 1.8
58, 1.92, 1.92
59, 1.84, 1.84
60, 1.8, 1.8
61, 1.77, 1.77
62, 1.79, 1.79
63, 1.8, 1.8
64, 1.9, 1.9
65, 1.85, 1.85
66, 1.64, 1.64
67, 1.53, 1.53
68, 1.54, 1.54
69, 1.54, 1.54
70, 1.22, 1.22
71, 1.15, 1.15
72, 1.25, 1.25
73, 1.13, 1.13
74, 1.01, 1.01
75, 1.35, 1.35
76, 0.93, 0.93
77, 1.18, 1.18
78, 1.15, 1.15
79, 0.85, 0.85
80, 1.01, 1.01
81, 0.88, 0.88
82, 0.88, 0.88
83, 0.58, 0.58
84, 0.61, 0.61
85, 0.72, 0.72
86, 0.65, 0.65
87, 0.52, 0.52
88, 0.57, 0.57
89, 0.43, 0.43
90, 0.48, 0.48
91, 0.36, 0.36
92, 0.29, 0.29
93, 0.34, 0.34
94, 0.33, 0.33
95, 0.29, 0.29
96, 0.26, 0.26
97, 0.24, 0.24
98, 0.16, 0.16
99, 0.16, 0.16
100, 0.19, 0.19
