age, man, woman
8, 0.01, 0.01
9, 0.04, 0.04
10, 0.05, 0.05
11, 0.02, 0.02
12, 0.04, 0.04
13, 0.08, 0.08
14, 0.06, 0.06
15, 0.12, 0.12
16, 0.09, 0.09
17, 0.16, 0.16
18, 0.18, 0.18
19, 0.26, 0.26
20, 0.21, 0.21
21, 0.3, 0.3
22, 0.22, 0.22
23, 0.31, 0.31
24, 0.48, 0.48
25, 0.42, 0.42
26, 0.53, 0.53
27, 0.62, 0.62
28, 0.66, 0.66
29, 0.8, 0.8
30, 0.73, 0.73
31, 0.82, 0.82
32, 0.99, 0.99
33, 0.87, 0.87
34, 1.07, 1.07
35, 1.27, 1.27
36, 1.23, 1.23
37, 1.44, 1.44
38, 1.4, 1.4
39, 1.46, 1.46
40, 1.6, 1.6
41, 1.8, 1.8
42, 1.86, 1.86
43, 1.69, 1.69
44, 1.93, 1.93
45, 2.01, 2.01
46, 2.24, 2.24
47, 2.07, 2.07
48, 2.19, 2.19
49, 2.25, 2.25
50, 2.26, 2.26
51, 2.26, 2.26
52, 2.37, 2.37
53, 2.3, 2.3
54, 2.53, 2.53
55, 2.45, 2.45
56, 2.39, 2.39
57, 2.32, 2.32
58, 2.39, 2.39
59, 2.66, 2.66
60, 2.43, 2.43
61, 2.6, 2.6
62, 2.49, 2.49
63, 2.4, 2.4
64, 2.22, 2.22
65, 2.15, 2.15
66, 2.18, 2.18
67, 1.99, 1.99
68, 1.88, 1.88
69, 1.7, 1.7
70, 1.56, 1.56
71, 1.47, 1.47
72, 1.38, 1.38
73, 1.58, 1.58
74, 1.41, 1.41
75, 1.15, 1.15
76, 1.17, 1.17
77, 0.86, 0.86
78, 0.79, 0.79
79, 0.84, 0.84
80, 0.75, 0.75
81, 0.69, 0.69
82, 0.53, 0.53
83, 0.53, 0.53
84, 0.42, 0.42
85, 0.35, 0.35
86, 0.35, 0.35
87, 0.25, 0.25
88, 0.26, 0.26
89, 0.18, 0.18
90, 0.13, 0.13
91, 0.11, 0.11
92, 0.14, 0.14
93, 0.13, 0.13
94, 0.03, 0.03
95, 0.07, 0.07
96, 0.07, 0.07
97, 0.07, 0.07
98, 0.05, 0.05
99, 0.03, 0.03
100, 0, 0
