age, man, woman
8, 0.02, 0.02
9, 0.03, 0.03
10, 0.02, 0.02
11, 0.1, 0.1
12, 0.03, 0.03
13, 0.11, 0.11
14, 0.13, 0.13
15, 0.1, 0.1
16, 0.11, 0.11
17, 0.11, 0.11
18, 0.13, 0.13
19, 0.2, 0.2
20, 0.18, 0.18
21, 0.21, 0.21
22, 0.28, 0.28
23, 0.34, 0.34
24, 0.34, 0.34
25, 0.35, 0.35
26, 0.57, 0.57
27, 0.52, 0.52
28, 0.64, 0.64
29, 0.69, 0.69
30, 0.82, 0.82
31, 0.84, 0.84
32, 0.9, 0.9
33, 1.04, 1.04
34, 0.95, 0.95
35, 1.19, 1.19
36, 1.13, 1.13
37, 1.43, 1.43
38, 1.41, 1.41
39, 1.42, 1.42
40, 1.56, 1.56
41, 1.95, 1.95
42, 1.58, 1.58
43, 1.89, 1.89
44, 1.93, 1.93
45, 1.8, 1.8
46, 2.05, 2.05
47, 2.44, 2.44
48, 2.05, 2.05
49, 2.53, 2.53
50, 2.39, 2.39
51, 2.22, 2.22
52, 2.39, 2.39
53, 2.37, 2.37
54, 2.45, 2.45
55, 2.25, 2.25
56, 2.49, 2.49
57, 2.64, 2.64
58, 2.3, 2.3
59, 2.18, 2.18
60, 2.37, 2.37
61, 2.31, 2.31
62, 2.37, 2.37
63, 2.53, 2.53
64, 2.15, 2.15
65, 2.26, 2.26
66, 2.29, 2.29
67, 1.81, 1.81
68, 2.27, 2.27
69, 1.73, 1.73
70, 1.83, 1.83
71, 1.67, 1.67
72, 1.67, 1.67
73, 1.44, 1.44
74, 1.32, 1.32
75, 1.16, 1.16
76, 1.19, 1.19
77, 1.1, 1.1
78, 0.88, 0.88
79, 0.73, 0.73
80, 0.79, 0.79
81, 0.75, 0.75
82, 0.54, 0.54
83, 0.42, 0.42
84, 0.37, 0.37
85, 0.38, 0.38
86, 0.31, 0.31
87, 0.25, 0.25
88, 0.2, 0.2
89, 0.2, 0.2
90, 0.14, 0.14
91, 0.15, 0.15
92, 0.14, 0.14
93, 0.12, 0.12
94, 0.06, 0.06
95, 0.02, 0.02
96, 0.04, 0.04
97, 0.04, 0.04
98, 0.04, 0.04
99, 0.02, 0.02
100, 0.03, 0.03
