age, man, woman
8, 0.77, 0.77
9, 0.84, 0.84
10, 0.84, 0.84
11, 0.98, 0.98
12, 1.03, 1.03
13, 1.01, 1.01
14, 0.81, 0.81
15, 1.03, 1.03
16, 1.03, 1.03
17, 1.08, 1.08
18, 1.25, 1.25
19, 1.08, 1.08
20, 1.29, 1.29
21, 1.19, 1.19
22, 1.13, 1.13
23, 1.12, 1.12
24, 0.99, 0.99
25, 1.37, 1.37
26, 1.32, 1.32
27, 1.28, 1.28
28, 1.27, 1.27
29, 1.26, 1.26
30, 1.19, 1.19
31, 1.16, 1.16
32, 1.26, 1.26
33, 1.36, 1.36
34, 0.94, 0.94
35, 1.3, 1.3
36, 1.38, 1.38
37, 1.08, 1.08
38, 1.12, 1.12
39, 1.23, 1.23
40, 1.22, 1.22
41, 1.34, 1.34
42, 1.22, 1.22
43, 1.12, 1.12
44, 1.13, 1.13
45, 1.23, 1.23
46, 1.06, 1.06
47, 1.06, 1.06
48, 1.18, 1.18
49, 1.21, 1.21
50, 1.11, 1.11
51, 1.22, 1.22
52, 1.08, 1.08
53, 1.01, 1.01
54, 1.01, 1.01
55, 0.96, 0.96
56, 1.03, 1.03
57, 0.95, 0.95
58, 1.12, 1.12
59, 0.88, 0.88
60, 1.03, 1.03
61, 0.98, 0.98
62, 0.96, 0.96
63, 1, 1
64, 0.72, 0.72
65, 0.9, 0.9
66, 1, 1
67, 0.91, 0.91
68, 0.87, 0.87
69, 0.57, 0.57
70, 0.88, 0.88
71, 0.94, 0.94
72, 0.66, 0.66
73, 0.83, 0.83
74, 0.62, 0.62
75, 0.72, 0.72
76, 0.69, 0.69
77, 0.65, 0.65
78, 0.5, 0.5
79, 0.64, 0.64
80, 0.68, 0.68
81, 0.7, 0.7
82, 0.64, 0.64
83, 0.73, 0.73
84, 0.6, 0.6
85, 0.49, 0.49
86, 0.65, 0.65
87, 0.54, 0.54
88, 0.44, 0.44
89, 0.53, 0.53
90, 0.44, 0.44
91, 0.67, 0.67
92, 0.44, 0.44
93, 0.44, 0.44
94, 0.52, 0.52
95, 0.43, 0.43
96, 0.41, 0.41
97, 0.37, 0.37
98, 0.48, 0.48
99, 0.42, 0.42
100, 0.43, 0.43
