age, man, woman
8, 0.01, 0.01
9, 0.02, 0.02
10, 0.02, 0.02
11, 0.05, 0.05
12, 0.06, 0.06
13, 0.05, 0.05
14, 0.1, 0.1
15, 0.09, 0.09
16, 0.14, 0.14
17, 0.17, 0.17
18, 0.12, 0.12
19, 0.21, 0.21
20, 0.16, 0.16
21, 0.25, 0.25
22, 0.39, 0.39
23, 0.3, 0.3
24, 0.46, 0.46
25, 0.38, 0.38
26, 0.53, 0.53
27, 0.44, 0.44
28, 0.59, 0.59
29, 0.66, 0.66
30, 0.82, 0.82
31, 0.91, 0.91
32, 0.7, 0.7
33, 0.96, 0.96
34, 1.08, 1.08
35, 1.24, 1.24
36, 1.31, 1.31
37, 1.41, 1.41
38, 1.38, 1.38
39, 1.5, 1.5
40, 1.49, 1.49
41, 1.74, 1.74
42, 1.77, 1.77
43, 1.91, 1.91
44, 2.22, 2.22
45, 1.85, 1.85
46, 2.42, 2.42
47, 2.1, 2.1
48, 1.99, 1.99
49, 2.33, 2.33
50, 2.44, 2.44
51, 2.4, 2.4
52, 2.51, 2.51
53, 2.33, 2.33
54, 2.38, 2.38
55, 2.47, 2.47
56, 2.45, 2.45
57, 2.67, 2.67
58, 2.82, 2.82
59, 2.47, 2.47
60, 2.37, 2.37
61, 2.36, 2.36
62, 2.46, 2.46
63, 2.05, 2.05
64, 2.11, 2.11
65, 1.92, 1.92
66, 1.94, 1.94
67, 2.16, 2.16
68, 1.77, 1.77
69, 1.93, 1.93
70, 1.57, 1.57
71, 1.54, 1.54
72, 1.55, 1.55
73, 1.25, 1.25
74, 1.18, 1.18
75, 1.21, 1.21
76, 1.16, 1.16
77, 1.08, 1.08
78, 0.8, 0.8
79, 0.8, 0.8
80, 0.69, 0.69
81, 0.79, 0.79
82, 0.74, 0.74
83, 0.57, 0.57
84, 0.42, 0.42
85, 0.43, 0.43
86, 0.43, 0.43
87, 0.25, 0.25
88, 0.21, 0.21
89, 0.18, 0.18
90, 0.15, 0.15
91, 0.14, 0.14
92, 0.12, 0.12
93, 0.08, 0.08
94, 0.08, 0.08
95, 0.11, 0.11
96, 0.05, 0.05
97, 0.02, 0.02
98, 0.02, 0.02
99, 0.01, 0.01
100, 0, 0
