age, man, woman
8, 0.01, 0.01
9, 0.01, 0.01
10, 0.02, 0.02
11, 0.06, 0.06
12, 0.06, 0.06
13, 0.03, 0.03
14, 0.04, 0.04
15, 0.11, 0.11
16, 0.1, 0.1
17, 0.1, 0.1
18, 0.24, 0.24
19, 0.14, 0.14
20, 0.17, 0.17
21, 0.27, 0.27
22, 0.28, 0.28
23, 0.33, 0.33
24, 0.38, 0.38
25, 0.39, 0.39
26, 0.52, 0.52
27, 0.57, 0.57
28, 0.59, 0.59
29, 0.61, 0.61
30, 0.79, 0.79
31, 0.89, 0.89
32, 1.04, 1.04
33, 0.98, 0.98
34, 1.03, 1.03
35, 1.05, 1.05
36, 1.35, 1.35
37, 1.44, 1.44
38, 1.4, 1.4
39, 1.85, 1.85
40, 1.4, 1.4
41, 1.55, 1.55
42, 1.77, 1.77
43, 2.07, 2.07
44, 1.81, 1.81
45, 2.21, 2.21
46, 2.1, 2.1
47, 2.37, 2.37
48, 2.05, 2.05
49, 2.13, 2.13
50, 2.5, 2.5
51, 2.36, 2.36
52, 2.39, 2.39
53, 2.27, 2.27
54, 2.65, 2.65
55, 2.43, 2.43
56, 2.64, 2.64
57, 2.08, 2.08
58, 2.71, 2.71
59, 2.45, 2.45
60, 2.09, 2.09
61, 2.42, 2.42
62, 2.46, 2.46
63, 2.26, 2.26
64, 2.19, 2.19
65, 2.22, 2.22
66, 2, 2
67, 2.12, 2.12
68, 2.12, 2.12
69, 1.83, 1.83
70, 1.74, 1.74
71, 1.84, 1.84
72, 1.55, 1.55
73, 1.43, 1.43
74, 1.11, 1.11
75, 1.11, 1.11
76, 1.22, 1.22
77, 0.91, 0.91
78, 0.98, 0.98
79, 0.7, 0.7
80, 0.76, 0.76
81, 0.54, 0.54
82, 0.54, 0.54
83, 0.53, 0.53
84, 0.35, 0.35
85, 0.49, 0.49
86, 0.37, 0.37
87, 0.25, 0.25
88, 0.16, 0.16
89, 0.15, 0.15
90, 0.18, 0.18
91, 0.08, 0.08
92, 0.13, 0.13
93, 0.08, 0.08
94, 0.05, 0.05
95, 0.04, 0.04
96, 0.03, 0.03
97, 0.06, 0.06
98, 0.04, 0.04
99, 0.03, 0.03
100, 0, 0
