age, man, woman
1, 0.02, 0.02
2, 0.04, 0.04
3, 0.14, 0.14
4, 0.14, 0.14
5, 0.24, 0.24
6, 0.25, 0.25
7, 0.29, 0.29
8, 0.28, 0.28
9, 0.26, 0.26
10, 0.25, 0.25
11, 0.61, 0.61
12, 0.55, 0.55
13, 0.59, 0.59
14, 0.56, 0.56
15, 0.63, 0.63
16, 0.58, 0.58
17, 0.68, 0.68
18, 0.59, 0.59
19, 0.78, 0.78
20, 0.75, 0.75
21, 0.73, 0.73
22, 0.84, 0.84
23, 0.96, 0.96
24, 0.72, 0.72
25, 0.98, 0.98
26, 1.02, 1.02
27, 0.96, 0.96
28, 1.08, 1.08
29, 1.02, 1.02
30, 1.24, 1.24
31, 1.03, 1.03
32, 1.21, 1.21
33, 1.4, 1.4
34, 1.05, 1.05
35, 1.3, 1.3
36, 1.34, 1.34
37, 1.31, 1.31
38, 1.28, 1.28
39, 1.42, 1.42
40, 1.18, 1.18
41, 1.15, 1.15
42, 1.52, 1.52
43, 1.26, 1.26
44, 1.36, 1.36
45, 1.36, 1.36
46, 1.45, 1.45
47, 1.34, 1.34
48, 1.46, 1.46
49, 1.21, 1.21
50, 1.12, 1.12
51, 1.43, 1.43
52, 1.26, 1.26
53, 1.54, 1.54
54, 1.38, 1.38
55, 1.39, 1.39
56, 1.46, 1.46
57, 1.29, 1.29
58, 1.33, 1.33
59, 1.34, 1.34
60, 1.44, 1.44
61, 1.45, 1.45
62, 1.37, 1.37
63, 1.3, 1.3
64, 1.14, 1.14
65, 1.45, 1.45
66, 1.15, 1.15
67, 1.05, 1.05
68, 1.02, 1.02
69, 1.21, 1.21
70, 1.06, 1.06
71, 0.96, 0.96
72, 1.03, 1.03
73, 1.03, 1.03
74, 1.14, 1.14
75, 1.18, 1.18
76, 1.15, 1.15
77, 1.06, 1.06
78, 0.81, 0.81
79, 0.9, 0.9
80, 0.9, 0.9
81, 0.71, 0.71
82, 0.8, 0.8
83, 0.63, 0.63
84, 0.73, 0.73
85, 0.7, 0.7
86, 0.72, 0.72
87, 0.58, 0.58
88, 0.71, 0.71
89, 0.61, 0.61
90, 0.62, 0.62
91, 0.5, 0.5
92, 0.55, 0.55
93, 0.61, 0.61
94, 0.59, 0.59
95, 0.58, 0.58
96, 0.42, 0.42
97, 0.47, 0.47
98, 0.56, 0.56
99, 0.45, 0.45
100, 0.37, 0.37
