age, man, woman
8, 0.43, 0.43
9, 0.48, 0.48
10, 0.39, 0.39
11, 0.32, 0.32
12, 0.28, 0.28
13, 0.32, 0.32
14, 0.23, 0.23
15, 0.23, 0.23
16, 0.24, 0.24
17, 0.31, 0.31
18, 0.19, 0.19
19, 0.16, 0.16
20, 0.12, 0.12
21, 0.19, 0.19
22, 0.14, 0.14
23, 0.13, 0.13
24, 0.19, 0.19
25, 0.13, 0.13
26, 0.08, 0.08
27, 0.17, 0.17
28, 0.11, 0.11
29, 0.13, 0.13
30, 0.12, 0.12
31, 0.16, 0.16
32, 0.11, 0.11
33, 0.14, 0.14
34, 0.1, 0.1
35, 0.07, 0.07
36, 0.1, 0.1
37, 0.04, 0.04
38, 0.11, 0.11
39, 0.06, 0.06
40, 0.07, 0.07
41, 0.11, 0.11
42, 0.05, 0.05
43, 0.1, 0.1
44, 0.09, 0.09
45, 0.04, 0.04
46, 0.04, 0.04
47, 0.06, 0.06
48, 0.11, 0.11
49, 0.08, 0.08
50, 0.06, 0.06
51, 0.07, 0.07
52, 0.08, 0.08
53, 0.09, 0.09
54, 0.09, 0.09
55, 0.04, 0.04
56, 0.09, 0.09
57, 0.11, 0.11
58, 0.03, 0.03
59, 0.06, 0.06
60, 0.08, 0.08
61, 0.1, 0.1
62, 0.03, 0.03
63, 0.04, 0.04
64, 0.07, 0.07
65, 0.09, 0.09
66, 0.04, 0.04
67, 0.07, 0.07
68, 0.08, 0.08
69, 0.06, 0.06
70, 0.02, 0.02
71, 0.06, 0.06
72, 0.05, 0.05
73, 0.05, 0.05
74, 0.02, 0.02
75, 0, 0
76, 0.03, 0.03
77, 0.04, 0.04
78, 0.04, 0.04
79, 0.05, 0.05
80, 0.02, 0.02
81, 0.04, 0.04
82, 0.07, 0.07
83, 0, 0
84, 0.02, 0.02
85, 0.06, 0.06
86, 0.03, 0.03
87, 0.03, 0.03
88, 0.06, 0.06
89, 0.08, 0.08
90, 0.05, 0.05
91, 0.07, 0.07
92, 0.02, 0.02
93, 0.03, 0.03
94, 0.03, 0.03
95, 0.03, 0.03
96, 0.02, 0.02
97, 0.03, 0.03
98, 0.04, 0.04
99, 0.04, 0.04
100, 0.02, 0.02
