age, man, woman
8, 0.02, 0.02
9, 0.03, 0.03
10, 0.02, 0.02
11, 0.03, 0.03
12, 0.03, 0.03
13, 0.03, 0.03
14, 0.05, 0.05
15, 0.1, 0.1
16, 0.1, 0.1
17, 0.11, 0.11
18, 0.21, 0.21
19, 0.16, 0.16
20, 0.23, 0.23
21, 0.28, 0.28
22, 0.35, 0.35
23, 0.33, 0.33
24, 0.4, 0.4
25, 0.43, 0.43
26, 0.48, 0.48
27, 0.4, 0.4
28, 0.55, 0.55
29, 0.74, 0.74
30, 0.54, 0.54
31, 0.86, 0.86
32, 0.92, 0.92
33, 0.81, 0.81
34, 1.22, 1.22
35, 1.31, 1.31
36, 1.3, 1.3
37, 1.35, 1.35
38, 1.32, 1.32
39, 1.57, 1.57
40, 1.58, 1.58
41, 1.61, 1.61
42, 1.73, 1.73
43, 1.71, 1.71
44, 2.09, 2.09
45, 2.08, 2.08
46, 2.23, 2.23
47, 2.29, 2.29
48, 2.04, 2.04
49, 2.17, 2.17
50, 2.33, 2.33
51, 2.3, 2.3
52, 2.29, 2.29
53, 2.32, 2.32
54, 2.36, 2.36
55, 2.69, 2.69
56, 2.5, 2.5
57, 2.69, 2.69
58, 2.75, 2.75
59, 2.36, 2.36
60, 2.19, 2.19
61, 2.56, 2.56
62, 2.4, 2.4
63, 2.22, 2.22
64, 2.41, 2.41
65, 2.21, 2.21
66, 2.36, 2.36
67, 2.06, 2.06
68, 1.95, 1.95
69, 1.89, 1.89
70, 1.71, 1.71
71, 1.64, 1.64
72, 1.3, 1.3
73, 1.32, 1.32
74, 1.37, 1.37
75, 1.2, 1.2
76, 1.02, 1.02
77, 0.95, 0.95
78, 0.98, 0.98
79, 0.88, 0.88
80, 0.54, 0.54
81, 0.79, 0.79
82, 0.51, 0.51
83, 0.51, 0.51
84, 0.47, 0.47
85, 0.37, 0.37
86, 0.38, 0.38
87, 0.29, 0.29
88, 0.16, 0.16
89, 0.18, 0.18
90, 0.13, 0.13
91, 0.08, 0.08
92, 0.11, 0.11
93, 0.08, 0.08
94, 0.07, 0.07
95, 0.06, 0.06
96, 0.09, 0.09
97, 0.03, 0.03
98, 0.01, 0.01
99, 0.01, 0.01
100, 0.03, 0.03
