age, man, woman
1, 0, 0
2, 0, 0
3, 0, 0
4, 0, 0
5, 0.01, 0.01
6, 0, 0
7, 0.02, 0.02
8, 0, 0
9, 0.02, 0.02
10, 0.04, 0.04
11, 0.06, 0.06
12, 0.06, 0.06
13, 0.11, 0.11
14, 0.09, 0.09
15, 0.07, 0.07
16, 0.13, 0.13
17, 0.17, 0.17
18, 0.22, 0.22
19, 0.23, 0.23
20, 0.11, 0.11
21, 0.34, 0.34
22, 0.33, 0.33
23, 0.35, 0.35
24, 0.35, 0.35
25, 0.31, 0.31
26, 0.57, 0.57
27, 0.4, 0.4
28, 0.67, 0.67
29, 0.47, 0.47
30, 0.57, 0.57
31, 0.88, 0.88
32, 0.85, 0.85
33, 0.96, 0.96
34, 1.01, 1.01
35, 0.85, 0.85
36, 0.87, 0.87
37, 1.24, 1.24
38, 1.1, 1.1
39, 1.11, 1.11
40, 1.29, 1.29
41, 1.41, 1.41
42, 1.46, 1.46
43, 1.49, 1.49
44, 1.5, 1.5
45, 1.57, 1.57
46, 1.63, 1.63
47, 1.57, 1.57
48, 1.62, 1.62
49, 1.82, 1.82
50, 1.68, 1.68
51, 1.96, 1.96
52, 1.94, 1.94
53, 1.93, 1.93
54, 2.21, 2.21
55, 1.97, 1.97
56, 2.09, 2.09
57, 2.24, 2.24
58, 2.44, 2.44
59, 2.08, 2.08
60, 1.99, 1.99
61, 2.31, 2.31
62, 2, 2
63, 2.39, 2.39
64, 2.08, 2.08
65, 2.04, 2.04
66, 1.96, 1.96
67, 2.06, 2.06
68, 1.76, 1.76
69, 1.94, 1.94
70, 2.11, 2.11
71, 1.82, 1.82
72, 1.88, 1.88
73, 1.79, 1.79
74, 1.59, 1.59
75, 1.6, 1.6
76, 1.36, 1.36
77, 1.48, 1.48
78, 1.24, 1.24
79, 1.22, 1.22
80, 1.07, 1.07
81, 1.11, 1.11
82, 1.21, 1.21
83, 0.86, 0.86
84, 1.04, 1.04
85, 0.9, 0.9
86, 0.71, 0.71
87, 0.7, 0.7
88, 0.71, 0.71
89, 0.59, 0.59
90, 0.51, 0.51
91, 0.45, 0.45
92, 0.44, 0.44
93, 0.34, 0.34
94, 0.29, 0.29
95, 0.24, 0.24
96, 0.3, 0.3
97, 0.19, 0.19
98, 0.2, 0.2
99, 0.15, 0.15
100, 0.15, 0.15
