age, man, woman
8, 0.01, 0.01
9, 0.01, 0.01
10, 0.02, 0.02
11, 0.03, 0.03
12, 0.03, 0.03
13, 0.03, 0.03
14, 0.06, 0.06
15, 0.1, 0.1
16, 0.14, 0.14
17, 0.13, 0.13
18, 0.17, 0.17
19, 0.16, 0.16
20, 0.17, 0.17
21, 0.37, 0.37
22, 0.24, 0.24
23, 0.3, 0.3
24, 0.36, 0.36
25, 0.3, 0.3
26, 0.45, 0.45
27, 0.39, 0.39
28, 0.62, 0.62
29, 0.64, 0.64
30, 0.79, 0.79
31, 0.72, 0.72
32, 0.87, 0.87
33, 1.02, 1.02
34, 0.98, 0.98
35, 0.9, 0.9
36, 1.23, 1.23
37, 1.13, 1.13
38, 1.16, 1.16
39, 1.4, 1.4
40, 1.5, 1.5
41, 1.58, 1.58
42, 1.73, 1.73
43, 1.56, 1.56
44, 2.14, 2.14
45, 1.98, 1.98
46, 2.27, 2.27
47, 2.26, 2.26
48, 1.98, 1.98
49, 2.46, 2.46
50, 2.52, 2.52
51, 2.28, 2.28
52, 2.56, 2.56
53, 2.74, 2.74
54, 2.95, 2.95
55, 2.95, 2.95
56, 2.59, 2.59
57, 2.51, 2.51
58, 2.57, 2.57
59, 2.31, 2.31
60, 2.58, 2.58
61, 2.77, 2.77
62, 2.5, 2.5
63, 2.11, 2.11
64, 2.22, 2.22
65, 2.05, 2.05
66, 2.07, 2.07
67, 2.03, 2.03
68, 2.01, 2.01
69, 1.84, 1.84
70, 1.62, 1.62
71, 1.74, 1.74
72, 1.72, 1.72
73, 1.49, 1.49
74, 1.25, 1.25
75, 1.35, 1.35
76, 1.12, 1.12
77, 1.01, 1.01
78, 0.86, 0.86
79, 0.7, 0.7
80, 0.77, 0.77
81, 0.65, 0.65
82, 0.48, 0.48
83, 0.52, 0.52
84, 0.36, 0.36
85, 0.28, 0.28
86, 0.21, 0.21
87, 0.28, 0.28
88, 0.18, 0.18
89, 0.17, 0.17
90, 0.16, 0.16
91, 0.08, 0.08
92, 0.11, 0.11
93, 0.05, 0.05
94, 0.06, 0.06
95, 0.04, 0.04
96, 0.04, 0.04
97, 0.02, 0.02
98, 0.01, 0.01
99, 0.02, 0.02
100, 0.01, 0.01
