age, man, woman
8, 0, 0
9, 0.04, 0.04
10, 0, 0
11, 0.04, 0.04
12, 0.06, 0.06
13, 0.06, 0.06
14, 0.08, 0.08
15, 0.14, 0.14
16, 0.14, 0.14
17, 0.14, 0.14
18, 0.24, 0.24
19, 0.16, 0.16
20, 0.29, 0.29
21, 0.22, 0.22
22, 0.3, 0.3
23, 0.39, 0.39
24, 0.5, 0.5
25, 0.38, 0.38
26, 0.49, 0.49
27, 0.58, 0.58
28, 0.74, 0.74
29, 0.78, 0.78
30, 0.73, 0.73
31, 0.73, 0.73
32, 1.12, 1.12
33, 1.06, 1.06
34, 0.89, 0.89
35, 1.19, 1.19
36, 1.19, 1.19
37, 1.37, 1.37
38, 1.61, 1.61
39, 1.37, 1.37
40, 1.81, 1.81
41, 1.66, 1.66
42, 1.8, 1.8
43, 1.81, 1.81
44, 1.98, 1.98
45, 1.73, 1.73
46, 2.22, 2.22
47, 2.32, 2.32
48, 2.27, 2.27
49, 2.23, 2.23
50, 2.56, 2.56
51, 2.21, 2.21
52, 2.42, 2.42
53, 2.29, 2.29
54, 2.12, 2.12
55, 2.65, 2.65
56, 2.6, 2.6
57, 2.41, 2.41
58, 2.54, 2.54
59, 2.64, 2.64
60, 2.52, 2.52
61, 2.4, 2.4
62, 2.01, 2.01
63, 2.29, 2.29
64, 1.94, 1.94
65, 2.21, 2.21
66, 2.13, 2.13
67, 2.17, 2.17
68, 1.88, 1.88
69, 1.59, 1.59
70, 1.78, 1.78
71, 1.32, 1.32
72, 1.5, 1.5
73, 1.39, 1.39
74, 1.21, 1.21
75, 1.18, 1.18
76, 0.98, 0.98
77, 1.2, 1.2
78, 1.12, 1.12
79, 0.83, 0.83
80, 0.66, 0.66
81, 0.59, 0.59
82, 0.58, 0.58
83, 0.48, 0.48
84, 0.39, 0.39
85, 0.37, 0.37
86, 0.26, 0.26
87, 0.26, 0.26
88, 0.24, 0.24
89, 0.27, 0.27
90, 0.16, 0.16
91, 0.12, 0.12
92, 0.17, 0.17
93, 0.06, 0.06
94, 0.09, 0.09
95, 0.09, 0.09
96, 0.02, 0.02
97, 0.05, 0.05
98, 0.04, 0.04
99, 0.02, 0.02
100, 0.04, 0.04
