age, man, woman
8, 1.68, 1.68
9, 1.7, 1.7
10, 1.43, 1.43
11, 1.34, 1.34
12, 1.19, 1.19
13, 1.37, 1.37
14, 1.24, 1.24
15, 1.13, 1.13
16, 0.81, 0.81
17, 0.79, 0.79
18, 0.96, 0.96
19, 0.96, 0.96
20, 0.92, 0.92
21, 0.79, 0.79
22, 0.99, 0.99
23, 0.84, 0.84
24, 0.64, 0.64
25, 0.61, 0.61
26, 0.77, 0.77
27, 0.72, 0.72
28, 0.73, 0.73
29, 0.68, 0.68
30, 0.72, 0.72
31, 0.65, 0.65
32, 0.57, 0.57
33, 0.49, 0.49
34, 0.51, 0.51
35, 0.62, 0.62
36, 0.72, 0.72
37, 0.63, 0.63
38, 0.47, 0.47
39, 0.52, 0.52
40, 0.45, 0.45
41, 0.57, 0.57
42, 0.47, 0.47
43, 0.66, 0.66
44, 0.41, 0.41
45, 0.5, 0.5
46, 0.45, 0.45
47, 0.43, 0.43
48, 0.48, 0.48
49, 0.54, 0.54
50, 0.48, 0.48
51, 0.43, 0.43
52, 0.44, 0.44
53, 0.34, 0.34
54, 0.44, 0.44
55, 0.45, 0.45
56, 0.4, 0.4
57, 0.45, 0.45
58, 0.36, 0.36
59, 0.47, 0.47
60, 0.39, 0.39
61, 0.48, 0.48
62, 0.29, 0.29
63, 0.37, 0.37
64, 0.31, 0.31
65, 0.39, 0.39
66, 0.25, 0.25
67, 0.36, 0.36
68, 0.39, 0.39
69, 0.35, 0.35
70, 0.32, 0.32
71, 0.25, 0.25
72, 0.36, 0.36
73, 0.43, 0.43
74, 0.18, 0.18
75, 0.27, 0.27
76, 0.29, 0.29
77, 0.26, 0.26
78, 0.22, 0.22
79, 0.28, 0.28
80, 0.23, 0.23
81, 0.31, 0.31
82, 0.35, 0.35
83, 0.33, 0.33
84, 0.24, 0.24
85, 0.28, 0.28
86, 0.22, 0.22
87, 0.2, 0.2
88, 0.29, 0.29
89, 0.29, 0.29
90, 0.3, 0.3
91, 0.28, 0.28
92, 0.14, 0.14
93, 0.2, 0.2
94, 0.22, 0.22
95, 0.16, 0.16
96, 0.22, 0.22
97, 0.27, 0.27
98, 0.36, 0.36
99, 0.19, 0.19
100, 0.17, 0.17
