age, man, woman
1, 0.08, 0.08
2, 0.17, 0.17
3, 0.29, 0.29
4, 0.25, 0.25
5, 0.49, 0.49
6, 0.51, 0.51
7, 0.46, 0.46
8, 0.44, 0.44
9, 0.66, 0.66
10, 0.71, 0.71
11, 0.65, 0.65
12, 0.61, 0.61
13, 0.79, 0.79
14, 0.74, 0.74
15, 0.77, 0.77
16, 0.79, 0.79
17, 1.11, 1.11
18, 0.72, 0.72
19, 1.05, 1.05
20, 1.03, 1.03
21, 1.08, 1.08
22, 1.2, 1.2
23, 1.15, 1.15
24, 1, 1
25, 0.99, 0.99
26, 1.29, 1.29
27, 1.08, 1.08
28, 1.3, 1.3
29, 0.87, 0.87
30, 1.35, 1.35
31, 1.11, 1.11
32, 1.25, 1.25
33, 1.23, 1.23
34, 1.22, 1.22
35, 1.12, 1.12
36, 1.17, 1.17
37, 1.21, 1.21
38, 1.07, 1.07
39, 1.18, 1.18
40, 1.07, 1.07
41, 1.09, 1.09
42, 1.3, 1.3
43, 1.21, 1.21
44, 1.21, 1.21
45, 1.34, 1.34
46, 1.27, 1.27
47, 1.13, 1.13
48, 1.21, 1.21
49, 1.19, 1.19
50, 1.18, 1.18
51, 1.11, 1.11
52, 1.1, 1.1
53, 1.09, 1.09
54, 1.08, 1.08
55, 1.05, 1.05
56, 1.2, 1.2
57, 1.04, 1.04
58, 1.16, 1.16
59, 1.08, 1.08
60, 0.98, 0.98
61, 1.21, 1.21
62, 1.01, 1.01
63, 0.96, 0.96
64, 1.05, 1.05
65, 0.95, 0.95
66, 1.05, 1.05
67, 0.83, 0.83
68, 1.01, 1.01
69, 0.95, 0.95
70, 0.96, 0.96
71, 0.86, 0.86
72, 1.05, 1.05
73, 0.96, 0.96
74, 0.78, 0.78
75, 0.75, 0.75
76, 0.81, 0.81
77, 0.8, 0.8
78, 0.71, 0.71
79, 0.8, 0.8
80, 0.61, 0.61
81, 0.77, 0.77
82, 0.7, 0.7
83, 0.76, 0.76
84, 0.62, 0.62
85, 0.67, 0.67
86, 0.65, 0.65
87, 0.64, 0.64
88, 0.65, 0.65
89, 0.53, 0.53
90, 0.6, 0.6
91, 0.4, 0.4
92, 0.63, 0.63
93, 0.58, 0.58
94, 0.54, 0.54
95, 0.38, 0.38
96, 0.5, 0.5
97, 0.51, 0.51
98, 0.45, 0.45
99, 0.43, 0.43
100, 0.45, 0.45
