age, man, woman
1, 5.25, 5.25
2, 2.8, 2.8
3, 2.46, 2.46
4, 2.2, 2.2
5, 2.1, 2.1
6, 1.62, 1.62
7, 1.62, 1.62
8, 1.63, 1.63
9, 1.65, 1.65
10, 1.47, 1.47
11, 1.52, 1.52
12, 1.33, 1.33
13, 1.23, 1.23
14, 1.19, 1.19
15, 1.17, 1.17
16, 1.33, 1.33
17, 0.98, 0.98
18, 1.33, 1.33
19, 1.11, 1.11
20, 1.11, 1.11
21, 0.81, 0.81
22, 1.1, 1.1
23, 0.93, 0.93
24, 1, 1
25, 0.87, 0.87
26, 0.82, 0.82
27, 0.82, 0.82
28, 0.84, 0.84
29, 0.7, 0.7
30, 0.67, 0.67
31, 0.74, 0.74
32, 0.93, 0.93
33, 0.6, 0.6
34, 0.72, 0.72
35, 0.77, 0.77
36, 0.72, 0.72
37, 0.77, 0.77
38, 0.63, 0.63
39, 0.5, 0.5
40, 0.48, 0.48
41, 0.64, 0.64
42, 0.61, 0.61
43, 0.61, 0.61
44, 0.52, 0.52
45, 0.58, 0.58
46, 0.53, 0.53
47, 0.61, 0.61
48, 0.33, 0.33
49, 0.48, 0.48
50, 0.45, 0.45
51, 0.5, 0.5
52, 0.63, 0.63
53, 0.47, 0.47
54, 0.51, 0.51
55, 0.43, 0.43
56, 0.47, 0.47
57, 0.38, 0.38
58, 0.42, 0.42
59, 0.45, 0.45
60, 0.54, 0.54
61, 0.41, 0.41
62, 0.41, 0.41
63, 0.46, 0.46
64, 0.44, 0.44
65, 0.39, 0.39
66, 0.37, 0.37
67, 0.35, 0.35
68, 0.36, 0.36
69, 0.34, 0.34
70, 0.37, 0.37
71, 0.35, 0.35
72, 0.34, 0.34
73, 0.38, 0.38
74, 0.33, 0.33
75, 0.33, 0.33
76, 0.41, 0.41
77, 0.36, 0.36
78, 0.39, 0.39
79, 0.4, 0.4
80, 0.34, 0.34
81, 0.28, 0.28
82, 0.29, 0.29
83, 0.3, 0.3
84, 0.3, 0.3
85, 0.3, 0.3
86, 0.26, 0.26
87, 0.18, 0.18
88, 0.24, 0.24
89, 0.36, 0.36
90, 0.31, 0.31
91, 0.3, 0.3
92, 0.24, 0.24
93, 0.24, 0.24
94, 0.25, 0.25
95, 0.31, 0.31
96, 0.3, 0.3
97, 0.27, 0.27
98, 0.22, 0.22
99, 0.23, 0.23
100, 0.21, 0.21
