age, man, woman
8, 0.32, 0.32
9, 0.34, 0.34
10, 0.43, 0.43
11, 0.38, 0.38
12, 0.6, 0.6
13, 0.73, 0.73
14, 0.75, 0.75
15, 0.66, 0.66
16, 0.57, 0.57
17, 0.73, 0.73
18, 0.69, 0.69
19, 0.95, 0.95
20, 0.93, 0.93
21, 0.87, 0.87
22, 0.91, 0.91
23, 0.95, 0.95
24, 1.21, 1.21
25, 1.21, 1.21
26, 1.17, 1.17
27, 1.16, 1.16
28, 1.17, 1.17
29, 1.3, 1.3
30, 1.23, 1.23
31, 1.43, 1.43
32, 1.45, 1.45
33, 1.58, 1.58
34, 1.2, 1.2
35, 1.32, 1.32
36, 1.32, 1.32
37, 1.58, 1.58
38, 1.54, 1.54
39, 1.47, 1.47
40, 1.59, 1.59
41, 1.59, 1.59
42, 1.44, 1.44
43, 1.48, 1.48
44, 1.45, 1.45
45, 1.58, 1.58
46, 1.66, 1.66
47, 1.56, 1.56
48, 1.31, 1.31
49, 1.41, 1.41
50, 1.67, 1.67
51, 1.44, 1.44
52, 1.46, 1.46
53, 1.44, 1.44
54, 1.41, 1.41
55, 1.62, 1.62
56, 1.36, 1.36
57, 1.45, 1.45
58, 1.34, 1.34
59, 1.25, 1.25
60, 1.32, 1.32
61, 1.23, 1.23
62, 1.15, 1.15
63, 1.21, 1.21
64, 1.27, 1.27
65, 1.19, 1.19
66, 1.08, 1.08
67, 1.19, 1.19
68, 1.16, 1.16
69, 1.14, 1.14
70, 0.97, 0.97
71, 1.1, 1.1
72, 0.9, 0.9
73, 1.15, 1.15
74, 0.98, 0.98
75, 0.85, 0.85
76, 0.95, 0.95
77, 0.7, 0.7
78, 0.97, 0.97
79, 0.81, 0.81
80, 0.68, 0.68
81, 0.78, 0.78
82, 0.57, 0.57
83, 0.56, 0.56
84, 0.67, 0.67
85, 0.6, 0.6
86, 0.43, 0.43
87, 0.63, 0.63
88, 0.55, 0.55
89, 0.48, 0.48
90, 0.61, 0.61
91, 0.51, 0.51
92, 0.43, 0.43
93, 0.6, 0.6
94, 0.41, 0.41
95, 0.47, 0.47
96, 0.39, 0.39
97, 0.36, 0.36
98, 0.48, 0.48
99, 0.31, 0.31
100, 0.35, 0.35
