age, man, woman
8, 0.03, 0.03
9, 0.03, 0.03
10, 0.08, 0.08
11, 0.05, 0.05
12, 0.05, 0.05
13, 0.07, 0.07
14, 0.07, 0.07
15, 0.18, 0.18
16, 0.1, 0.1
17, 0.19, 0.19
18, 0.25, 0.25
19, 0.2, 0.2
20, 0.27, 0.27
21, 0.24, 0.24
22, 0.26, 0.26
23, 0.35, 0.35
24, 0.55, 0.55
25, 0.38, 0.38
26, 0.43, 0.43
27, 0.66, 0.66
28, 0.55, 0.55
29, 0.77, 0.77
30, 0.94, 0.94
31, 0.96, 0.96
32, 0.71, 0.71
33, 1.16, 1.16
34, 0.86, 0.86
35, 1.09, 1.09
36, 1.3, 1.3
37, 1.23, 1.23
38, 1.39, 1.39
39, 1.6, 1.6
40, 1.65, 1.65
41, 1.52, 1.52
42, 1.64, 1.64
43, 1.87, 1.87
44, 1.91, 1.91
45, 1.81, 1.81
46, 2.2, 2.2
47, 1.9, 1.9
48, 2.26, 2.26
49, 2.32, 2.32
50, 2.29, 2.29
51, 2.48, 2.48
52, 2.26, 2.26
53, 2.56, 2.56
54, 2.55, 2.55
55, 2.59, 2.59
56, 2.34, 2.34
57, 2.59, 2.59
58, 2.65, 2.65
59, 2.63, 2.63
60, 2.4, 2.4
61, 2.4, 2.4
62, 2.32, 2.32
63, 2.18, 2.18
64, 2.18, 2.18
65, 2.31, 2.31
66, 2.01, 2.01
67, 2.08, 2.08
68, 1.72, 1.72
69, 1.7, 1.7
70, 1.77, 1.77
71, 1.61, 1.61
72, 1.6, 1.6
73, 1.33, 1.33
74, 1.41, 1.41
75, 1.22, 1.22
76, 1.06, 1.06
77, 1.08, 1.08
78, 0.75, 0.75
79, 0.66, 0.66
80, 0.71, 0.71
81, 0.68, 0.68
82, 0.56, 0.56
83, 0.39, 0.39
84, 0.54, 0.54
85, 0.47, 0.47
86, 0.3, 0.3
87, 0.22, 0.22
88, 0.25, 0.25
89, 0.25, 0.25
90, 0.17, 0.17
91, 0.11, 0.11
92, 0.13, 0.13
93, 0.08, 0.08
94, 0.09, 0.09
95, 0.07, 0.07
96, 0.05, 0.05
97, 0, 0
98, 0.03, 0.03
99, 0.02, 0.02
100, 0, 0
