age, man, woman
1, 0.02, 0.02
2, 0.06, 0.06
3, 0.17, 0.17
4, 0.15, 0.15
5, 0.24, 0.24
6, 0.33, 0.33
7, 0.37, 0.37
8, 0.4, 0.4
9, 0.45, 0.45
10, 0.53, 0.53
11, 0.63, 0.63
12, 0.6, 0.6
13, 0.56, 0.56
14, 0.71, 0.71
15, 0.69, 0.69
16, 0.84, 0.84
17, 0.8, 0.8
18, 0.84, 0.84
19, 0.83, 0.83
20, 0.73, 0.73
21, 0.97, 0.97
22, 0.97, 0.97
23, 1.08, 1.08
24, 1.08, 1.08
25, 1.02, 1.02
26, 1.01, 1.01
27, 1.09, 1.09
28, 1.16, 1.16
29, 1.17, 1.17
30, 1.27, 1.27
31, 1.49, 1.49
32, 1.18, 1.18
33, 1.22, 1.22
34, 1.13, 1.13
35, 1.18, 1.18
36, 1.12, 1.12
37, 1.34, 1.34
38, 1.16, 1.16
39, 1.22, 1.22
40, 1.21, 1.21
41, 1.18, 1.18
42, 1.44, 1.44
43, 1.28, 1.28
44, 1.2, 1.2
45, 1.1, 1.1
46, 1.5, 1.5
47, 1.03, 1.03
48, 1.16, 1.16
49, 1.49, 1.49
50, 1.16, 1.16
51, 1.29, 1.29
52, 1.29, 1.29
53, 1.11, 1.11
54, 1.34, 1.34
55, 1.17, 1.17
56, 1.39, 1.39
57, 1.02, 1.02
58, 1.2, 1.2
59, 1.15, 1.15
60, 1.01, 1.01
61, 0.94, 0.94
62, 1.13, 1.13
63, 1.11, 1.11
64, 1.04, 1.04
65, 0.97, 0.97
66, 1.15, 1.15
67, 0.92, 0.92
68, 0.93, 0.93
69, 0.89, 0.89
70, 1.04, 1.04
71, 0.96, 0.96
72, 1.18, 1.18
73, 0.86, 0.86
74, 0.72, 0.72
75, 0.94, 0.94
76, 0.93, 0.93
77, 0.87, 0.87
78, 0.77, 0.77
79, 0.79, 0.79
80, 0.82, 0.82
81, 0.72, 0.72
82, 0.71, 0.71
83, 0.65, 0.65
84, 0.67, 0.67
85, 0.66, 0.66
86, 0.65, 0.65
87, 0.56, 0.56
88, 0.67, 0.67
89, 0.72, 0.72
90, 0.66, 0.66
91, 0.65, 0.65
92, 0.62, 0.62
93, 0.58, 0.58
94, 0.62, 0.62
95, 0.72, 0.72
96, 0.67, 0.67
97, 0.5, 0.5
98, 0.48, 0.48
99, 0.59, 0.59
100, 0.45, 0.45
